91
[-1, 0, 45, 0, 866, 0, 604, 0, 850, 0, 657, 741, 438, 0, 680, 0, 841, 0, 776, 525, 76, 908, 0, 671, 0, 735, 87, 0, 0, 0, 810, 0, 28, 323, 366, 0, 0, 267, 0, 21, 265, 0, 3, 0, 360, 176, 184, 962, 0, 0, 988, 671, 265, 0, 0, 892, 608, 922, 944, 0, 449, 0, 290, 0, 0, 0, 0, 923, 734, 957, 850, 0, 0, 432, 0, 0, 357, 593, 514, 955, 760, 859, 655, 0, 0, 0, 0, 0, 0, 828, 0, 
0, -1, 767, 0, 666, 41, 0, 10, 0, 593, 708, 163, 0, 884, 0, 0, 0, 93, 622, 957, 0, 323, 91, 0, 453, 0, 0, 0, 616, 0, 0, 0, 0, 78, 0, 0, 519, 705, 0, 26, 26, 0, 205, 316, 895, 0, 830, 655, 827, 344, 0, 820, 0, 0, 432, 0, 0, 976, 0, 0, 0, 226, 855, 429, 0, 0, 742, 550, 0, 522, 0, 420, 0, 50, 902, 0, 0, 356, 540, 0, 972, 266, 111, 0, 0, 0, 767, 0, 966, 0, 956, 
45, 767, -1, 0, 0, 282, 0, 811, 969, 0, 0, 0, 207, 729, 681, 977, 400, 351, 0, 447, 219, 209, 803, 0, 539, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 578, 0, 814, 860, 994, 767, 184, 0, 0, 162, 0, 243, 0, 151, 41, 0, 0, 0, 0, 0, 0, 0, 0, 300, 517, 0, 0, 584, 192, 997, 0, 0, 0, 0, 0, 0, 0, 426, 0, 0, 770, 0, 0, 967, 96, 849, 815, 982, 232, 0, 0, 0, 0, 16, 0, 
0, 0, 0, -1, 259, 33, 186, 294, 0, 0, 259, 113, 423, 443, 0, 942, 748, 145, 693, 232, 609, 0, 0, 800, 574, 393, 232, 759, 544, 948, 143, 0, 0, 0, 759, 318, 0, 80, 73, 146, 0, 939, 198, 0, 520, 544, 75, 247, 135, 370, 616, 93, 327, 0, 0, 506, 543, 74, 662, 0, 167, 624, 282, 0, 396, 745, 726, 0, 581, 0, 546, 820, 100, 0, 0, 345, 0, 0, 883, 22, 0, 57, 0, 0, 93, 566, 0, 740, 0, 60, 584, 
866, 666, 0, 259, -1, 588, 559, 0, 191, 78, 537, 0, 0, 920, 76, 0, 0, 0, 198, 0, 602, 0, 0, 635, 0, 442, 0, 856, 0, 222, 547, 250, 441, 0, 0, 0, 0, 0, 0, 0, 666, 0, 641, 0, 0, 0, 0, 727, 0, 0, 0, 401, 0, 0, 0, 0, 0, 0, 0, 0, 698, 0, 927, 0, 0, 0, 0, 0, 60, 0, 0, 564, 439, 0, 512, 0, 70, 878, 552, 0, 0, 0, 0, 658, 0, 812, 570, 0, 576, 52, 0, 
0, 41, 282, 33, 588, -1, 0, 0, 125, 0, 895, 562, 0, 447, 0, 0, 894, 0, 65, 241, 0, 0, 0, 790, 514, 0, 86, 0, 27, 0, 0, 621, 32, 63, 732, 0, 435, 164, 337, 410, 4, 858, 0, 0, 0, 0, 905, 0, 948, 0, 0, 0, 3, 665, 331, 0, 0, 248, 0, 608, 821, 0, 533, 102, 0, 36, 482, 0, 13, 0, 783, 554, 315, 0, 0, 0, 0, 0, 0, 506, 888, 665, 749, 0, 0, 0, 166, 812, 203, 0, 652, 
604, 0, 0, 186, 559, 0, -1, 0, 0, 769, 0, 0, 733, 0, 0, 0, 0, 0, 0, 589, 847, 343, 0, 503, 788, 808, 835, 121, 0, 0, 0, 0, 7, 0, 585, 0, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 765, 0, 0, 213, 0, 0, 863, 74, 911, 0, 0, 0, 0, 743, 404, 109, 374, 734, 593, 501, 956, 0, 0, 0, 0, 0, 0, 766, 0, 307, 203, 0, 0, 733, 0, 514, 369, 0, 809, 463, 
0, 10, 811, 294, 0, 0, 0, -1, 581, 0, 711, 315, 121, 0, 950, 0, 967, 0, 549, 624, 0, 0, 0, 0, 236, 0, 706, 870, 0, 591, 480, 255, 261, 0, 325, 778, 0, 330, 250, 0, 0, 360, 564, 0, 0, 0, 0, 900, 309, 0, 434, 887, 0, 0, 633, 501, 159, 0, 550, 0, 0, 213, 679, 195, 0, 0, 0, 0, 0, 383, 850, 932, 373, 0, 161, 951, 0, 819, 0, 862, 130, 0, 0, 345, 0, 960, 0, 291, 662, 73, 494, 
850, 0, 969, 0, 191, 125, 0, 581, -1, 362, 0, 822, 0, 0, 93, 0, 884, 969, 128, 0, 0, 135, 0, 0, 710, 0, 826, 469, 0, 48, 0, 291, 0, 0, 539, 976, 298, 299, 711, 0, 335, 974, 236, 620, 0, 255, 494, 257, 511, 0, 0, 289, 696, 0, 906, 0, 0, 676, 0, 0, 0, 0, 0, 0, 109, 0, 6, 804, 0, 873, 230, 0, 0, 751, 62, 0, 683, 0, 984, 566, 0, 827, 0, 0, 0, 781, 0, 0, 244, 605, 994, 
0, 593, 0, 0, 78, 0, 769, 0, 362, -1, 973, 0, 0, 0, 0, 0, 280, 367, 0, 0, 0, 338, 0, 842, 0, 761, 0, 433, 0, 737, 574, 228, 0, 39, 0, 0, 251, 443, 113, 0, 759, 51, 812, 0, 636, 0, 100, 0, 848, 0, 933, 0, 587, 0, 0, 462, 413, 863, 0, 0, 616, 517, 744, 0, 536, 0, 0, 0, 481, 895, 0, 778, 286, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 884, 351, 0, 0, 972, 0, 833, 981, 
