46
[-1, 0, 89, 0, 30, 0, 0, 46, 94, 0, 0, 99, 88, 13, 61, 61, 21, 19, 65, 67, 98, 69, 0, 55, 97, 0, 0, 10, 0, 0, 47, 72, 34, 79, 15, 0, 0, 0, 0, 0, 0, 87, 0, 46, 0, 52, 
0, -1, 77, 16, 54, 0, 0, 0, 14, 0, 0, 0, 76, 62, 0, 64, 0, 83, 0, 21, 38, 62, 0, 0, 40, 80, 10, 0, 60, 0, 0, 81, 17, 62, 32, 0, 73, 91, 0, 56, 0, 94, 0, 0, 35, 40, 
89, 77, -1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 36, 0, 53, 0, 71, 11, 80, 0, 0, 0, 76, 0, 0, 0, 0, 90, 67, 0, 0, 0, 23, 0, 56, 14, 0, 79, 3, 81, 0, 36, 20, 86, 69, 0, 
0, 16, 0, -1, 0, 80, 68, 0, 93, 23, 0, 83, 0, 37, 62, 50, 0, 0, 0, 0, 0, 0, 86, 0, 73, 0, 13, 13, 0, 0, 17, 15, 2, 0, 19, 5, 69, 0, 26, 0, 87, 0, 37, 0, 0, 18, 
30, 54, 0, 0, -1, 78, 37, 0, 42, 53, 0, 54, 85, 37, 85, 0, 21, 0, 0, 89, 0, 0, 0, 0, 2, 87, 0, 82, 0, 0, 0, 0, 2, 0, 67, 71, 56, 0, 53, 0, 0, 14, 0, 0, 53, 73, 
0, 0, 0, 80, 78, -1, 0, 0, 61, 43, 0, 0, 84, 81, 0, 0, 42, 0, 0, 0, 16, 1, 93, 0, 79, 67, 0, 34, 12, 0, 0, 0, 89, 0, 55, 38, 36, 97, 24, 0, 40, 4, 10, 0, 12, 96, 
0, 0, 0, 68, 37, 0, -1, 0, 0, 91, 0, 0, 0, 95, 0, 0, 0, 82, 0, 56, 28, 0, 96, 0, 0, 11, 0, 0, 0, 0, 34, 0, 63, 0, 20, 89, 0, 0, 0, 2, 0, 0, 60, 0, 0, 0, 
46, 0, 0, 0, 0, 0, 0, -1, 99, 19, 38, 0, 30, 66, 0, 0, 25, 0, 0, 53, 21, 76, 0, 0, 0, 0, 0, 19, 82, 21, 26, 35, 49, 0, 20, 36, 89, 0, 29, 17, 0, 0, 59, 15, 0, 0, 
94, 14, 0, 93, 42, 61, 0, 99, -1, 90, 0, 0, 0, 0, 0, 0, 86, 0, 21, 34, 85, 0, 8, 29, 91, 21, 0, 80, 100, 0, 14, 8, 0, 0, 60, 0, 45, 26, 83, 4, 70, 21, 83, 0, 60, 0, 
0, 0, 0, 23, 53, 43, 91, 19, 90, -1, 25, 93, 29, 24, 50, 58, 2, 57, 10, 19, 0, 78, 0, 82, 17, 27, 0, 0, 15, 0, 26, 0, 0, 0, 0, 0, 0, 85, 34, 0, 86, 0, 0, 65, 0, 0, 
