79
[-1, 791, 0, 62, 0, 0, 85, 777, 366, 0, 206, 614, 712, 966, 158, 0, 196, 338, 0, 276, 0, 977, 0, 332, 0, 126, 0, 0, 566, 482, 0, 817, 317, 799, 567, 0, 169, 0, 0, 0, 0, 0, 755, 0, 73, 363, 510, 357, 0, 682, 760, 11, 739, 0, 0, 998, 0, 9, 792, 0, 64, 10, 0, 533, 0, 43, 459, 360, 323, 293, 531, 898, 0, 0, 933, 0, 992, 0, 0, 
791, -1, 282, 855, 0, 0, 0, 79, 470, 0, 0, 278, 28, 255, 353, 476, 0, 0, 584, 868, 0, 0, 709, 737, 0, 0, 699, 400, 0, 0, 853, 0, 433, 0, 153, 0, 780, 208, 0, 80, 0, 0, 0, 183, 908, 555, 0, 0, 404, 456, 863, 0, 0, 0, 732, 420, 0, 424, 499, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 776, 0, 451, 0, 0, 751, 0, 
0, 282, -1, 0, 0, 630, 904, 405, 955, 557, 0, 0, 201, 86, 0, 0, 0, 0, 0, 920, 888, 0, 0, 0, 0, 37, 923, 0, 0, 0, 0, 933, 530, 0, 0, 0, 0, 0, 0, 53, 746, 850, 206, 600, 0, 0, 0, 950, 559, 0, 0, 0, 430, 355, 0, 0, 0, 0, 47, 0, 0, 8, 598, 0, 288, 0, 0, 76, 0, 894, 0, 157, 0, 358, 0, 0, 0, 0, 0, 
62, 855, 0, -1, 0, 0, 278, 157, 0, 132, 0, 442, 148, 574, 882, 572, 0, 0, 483, 0, 0, 0, 235, 0, 348, 0, 918, 0, 599, 0, 0, 635, 588, 763, 0, 0, 0, 0, 0, 0, 0, 649, 304, 0, 0, 795, 399, 0, 461, 0, 0, 82, 953, 635, 0, 0, 0, 275, 22, 339, 735, 244, 720, 481, 694, 594, 752, 421, 0, 0, 888, 0, 337, 416, 0, 0, 257, 0, 0, 
0, 0, 0, 0, -1, 536, 0, 257, 653, 0, 656, 290, 297, 69, 0, 0, 0, 522, 0, 0, 0, 240, 0, 0, 468, 463, 0, 490, 0, 708, 0, 933, 0, 0, 302, 601, 359, 62, 0, 0, 0, 0, 836, 0, 252, 145, 0, 947, 388, 666, 261, 0, 575, 910, 487, 810, 578, 0, 0, 0, 902, 215, 57, 340, 731, 574, 669, 0, 217, 498, 445, 0, 0, 0, 792, 0, 0, 2, 120, 
0, 0, 630, 0, 536, -1, 475, 274, 356, 0, 105, 0, 0, 0, 160, 571, 0, 640, 0, 0, 0, 0, 0, 871, 0, 0, 0, 763, 236, 460, 443, 716, 731, 0, 536, 0, 0, 0, 0, 451, 20, 905, 0, 0, 0, 352, 890, 937, 962, 424, 425, 358, 814, 0, 0, 0, 0, 0, 0, 344, 0, 612, 340, 0, 0, 322, 0, 0, 596, 0, 0, 50, 765, 419, 383, 0, 0, 0, 0, 
85, 0, 904, 278, 0, 475, -1, 0, 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 546, 0, 0, 498, 626, 0, 418, 0, 628, 0, 311, 889, 0, 36, 199, 763, 0, 0, 0, 610, 0, 0, 793, 0, 115, 140, 0, 510, 187, 0, 0, 40, 0, 684, 0, 132, 902, 0, 860, 673, 0, 818, 569, 0, 783, 0, 0, 0, 199, 381, 0, 519, 0, 461, 0, 557, 0, 224, 923, 788, 23, 
777, 79, 405, 157, 257, 274, 0, -1, 0, 865, 162, 472, 0, 197, 813, 0, 69, 167, 532, 0, 0, 532, 0, 884, 0, 0, 0, 166, 0, 0, 212, 0, 63, 116, 0, 0, 0, 930, 0, 0, 674, 818, 0, 711, 0, 0, 0, 0, 0, 0, 463, 298, 0, 740, 253, 0, 423, 0, 0, 0, 0, 341, 0, 0, 0, 866, 0, 0, 219, 0, 0, 632, 0, 415, 0, 481, 0, 0, 876, 
366, 470, 955, 0, 653, 356, 0, 0, -1, 0, 0, 0, 561, 0, 238, 101, 358, 0, 362, 0, 430, 687, 637, 326, 915, 0, 0, 0, 838, 624, 935, 284, 0, 330, 101, 0, 0, 0, 0, 527, 0, 0, 0, 517, 232, 0, 0, 725, 944, 0, 309, 896, 0, 0, 0, 819, 88, 6, 0, 0, 0, 604, 0, 0, 218, 905, 475, 3, 0, 511, 871, 624, 515, 72, 0, 0, 0, 941, 0, 
0, 0, 557, 132, 0, 0, 0, 865, 0, -1, 339, 0, 933, 0, 0, 0, 353, 221, 175, 641, 0, 0, 866, 169, 0, 0, 716, 749, 154, 0, 0, 0, 0, 0, 468, 0, 0, 0, 459, 952, 0, 0, 383, 0, 0, 0, 977, 0, 0, 12, 24, 0, 213, 879, 0, 0, 89, 0, 26, 736, 0, 0, 0, 772, 611, 0, 0, 418, 0, 0, 341, 0, 0, 374, 0, 0, 652, 0, 0, 
