58
[-1, 438, 20, 0, 974, 458, 980, 0, 712, 0, 197, 0, 0, 0, 160, 257, 0, 0, 78, 0, 0, 940, 0, 556, 259, 752, 957, 0, 493, 215, 0, 0, 423, 0, 715, 0, 177, 839, 0, 735, 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 358, 883, 913, 885, 584, 
438, -1, 0, 0, 0, 0, 0, 0, 0, 179, 328, 0, 725, 222, 97, 0, 416, 0, 636, 49, 90, 0, 578, 100, 328, 55, 0, 0, 751, 0, 0, 0, 302, 0, 645, 537, 423, 0, 0, 594, 983, 623, 584, 663, 0, 218, 0, 0, 0, 0, 0, 773, 0, 145, 0, 730, 0, 0, 
20, 0, -1, 0, 0, 893, 720, 24, 887, 846, 0, 0, 61, 0, 736, 823, 292, 0, 428, 0, 0, 0, 0, 0, 0, 410, 90, 339, 0, 756, 0, 908, 296, 693, 368, 580, 723, 85, 925, 909, 580, 0, 633, 0, 920, 724, 68, 0, 220, 0, 690, 0, 38, 689, 0, 0, 620, 648, 
0, 0, 0, -1, 0, 0, 0, 313, 667, 0, 0, 342, 412, 690, 0, 449, 978, 17, 39, 0, 0, 492, 547, 0, 0, 0, 9, 321, 453, 502, 0, 751, 206, 990, 0, 717, 0, 0, 0, 0, 182, 0, 0, 669, 0, 127, 381, 2, 0, 923, 0, 0, 0, 460, 104, 0, 0, 0, 
974, 0, 0, 0, -1, 0, 0, 0, 463, 188, 0, 0, 401, 0, 0, 0, 0, 186, 0, 0, 853, 185, 0, 826, 0, 222, 750, 0, 273, 0, 0, 6, 115, 0, 0, 0, 344, 0, 82, 946, 0, 0, 0, 0, 306, 337, 0, 71, 993, 0, 0, 0, 0, 0, 294, 911, 0, 838, 
458, 0, 893, 0, 0, -1, 0, 688, 652, 666, 33, 795, 587, 564, 0, 0, 0, 166, 0, 988, 0, 891, 0, 0, 313, 688, 0, 0, 617, 0, 0, 536, 424, 0, 196, 0, 141, 381, 451, 504, 804, 0, 908, 406, 0, 187, 941, 992, 858, 965, 711, 539, 35, 417, 271, 925, 228, 211, 
980, 0, 720, 0, 0, 0, -1, 0, 666, 518, 33, 0, 450, 0, 841, 496, 42, 774, 45, 819, 0, 0, 0, 12, 0, 0, 0, 432, 596, 713, 0, 0, 881, 0, 465, 0, 750, 0, 0, 628, 616, 948, 819, 0, 853, 0, 0, 0, 0, 0, 0, 207, 126, 0, 0, 146, 0, 396, 
0, 0, 24, 313, 0, 688, 0, -1, 449, 0, 0, 27, 0, 854, 344, 0, 0, 722, 0, 0, 0, 747, 401, 883, 703, 0, 951, 0, 0, 0, 0, 455, 0, 0, 456, 0, 199, 279, 0, 403, 0, 230, 915, 63, 0, 159, 527, 896, 437, 778, 48, 0, 406, 448, 201, 0, 0, 0, 
712, 0, 887, 667, 463, 652, 666, 449, -1, 432, 304, 0, 846, 0, 0, 364, 750, 0, 79, 0, 42, 0, 261, 0, 0, 0, 866, 0, 241, 0, 641, 346, 0, 0, 0, 334, 666, 0, 446, 174, 765, 174, 0, 0, 185, 0, 116, 186, 360, 0, 717, 868, 841, 0, 0, 0, 785, 0, 
0, 179, 846, 0, 188, 666, 518, 0, 432, -1, 121, 0, 112, 0, 0, 899, 627, 874, 0, 570, 41, 0, 0, 0, 729, 280, 569, 0, 0, 514, 0, 163, 799, 0, 0, 848, 0, 323, 0, 10, 739, 0, 0, 309, 893, 0, 917, 0, 435, 0, 0, 701, 520, 408, 0, 803, 0, 0, 
197, 328, 0, 0, 0, 33, 33, 0, 304, 121, -1, 24, 0, 434, 0, 0, 129, 651, 0, 0, 261, 0, 0, 554, 0, 926, 145, 558, 0, 0, 0, 106, 91, 432, 0, 527, 415, 706, 0, 254, 576, 0, 184, 271, 970, 0, 0, 823, 0, 0, 501, 1, 176, 531, 1, 0, 0, 948, 
