64
[-1, 694, 616, 392, 1028, 1208, 757, 1135, 863, 448, 964, 774, 605, 440, 528, 1034, 864, 717, 569, 897, 293, 862, 450, 769, 840, 345, 1201, 775, 892, 269, 960, 1026, 1122, 263, 531, 585, 280, 614, 358, 840, 768, 380, 800, 960, 1092, 686, 816, 286, 840, 840, 842, 826, 1137, 949, 854, 792, 833, 996, 345, 907, 592, 553, 388, 1095, 
694, -1, 752, 713, 565, 835, 423, 697, 244, 821, 634, 139, 872, 377, 373, 926, 560, 282, 239, 1119, 578, 523, 472, 482, 440, 694, 848, 365, 966, 605, 802, 971, 796, 675, 739, 890, 470, 95, 903, 656, 778, 314, 628, 1127, 860, 418, 1081, 513, 213, 552, 568, 779, 819, 958, 406, 640, 943, 749, 813, 691, 603, 496, 674, 789, 
616, 752, -1, 918, 930, 1214, 538, 1138, 742, 246, 636, 788, 706, 555, 709, 763, 719, 875, 520, 948, 819, 538, 399, 409, 552, 280, 937, 530, 987, 377, 488, 710, 1127, 395, 846, 639, 609, 739, 439, 503, 324, 593, 333, 626, 702, 577, 696, 692, 785, 1010, 429, 946, 716, 489, 831, 380, 433, 517, 860, 486, 825, 654, 944, 795, 
392, 713, 918, -1, 957, 1030, 839, 976, 911, 793, 1042, 828, 595, 488, 450, 1067, 851, 594, 713, 831, 227, 1078, 597, 945, 1024, 662, 1193, 893, 743, 542, 1119, 1095, 956, 633, 334, 635, 339, 635, 713, 947, 958, 493, 998, 1110, 1180, 720, 900, 252, 841, 626, 1012, 649, 1242, 1121, 782, 955, 1013, 1161, 179, 1174, 410, 505, 174, 1125, 
1028, 565, 930, 957, -1, 356, 400, 246, 451, 1054, 400, 650, 818, 589, 526, 583, 249, 454, 652, 928, 948, 820, 640, 611, 723, 934, 363, 492, 725, 858, 664, 677, 326, 1021, 771, 860, 756, 629, 1158, 500, 737, 740, 673, 978, 555, 378, 960, 792, 380, 424, 600, 551, 556, 818, 189, 601, 854, 649, 1014, 963, 597, 512, 1014, 390, 
1208, 835, 1214, 1030, 356, -1, 721, 155, 781, 1299, 709, 937, 890, 806, 695, 710, 503, 621, 951, 909, 1090, 1169, 883, 948, 1071, 1170, 532, 833, 656, 1079, 944, 822, 107, 1263, 807, 959, 937, 880, 1369, 774, 992, 975, 991, 1129, 791, 651, 1053, 942, 688, 422, 934, 501, 840, 1042, 451, 898, 1061, 962, 1090, 1311, 652, 668, 1117, 615, 
757, 423, 538, 839, 400, 721, -1, 624, 319, 685, 234, 495, 673, 356, 416, 533, 248, 474, 348, 875, 772, 494, 320, 233, 412, 581, 509, 157, 766, 536, 394, 566, 653, 674, 698, 674, 536, 467, 818, 236, 411, 490, 298, 758, 444, 143, 779, 607, 323, 589, 243, 634, 431, 559, 323, 253, 577, 372, 860, 607, 567, 384, 878, 406, 
1135, 697, 1138, 976, 246, 155, 624, -1, 640, 1231, 638, 792, 890, 719, 609, 724, 440, 501, 829, 959, 1007, 1043, 804, 843, 943, 1099, 519, 717, 711, 1006, 891, 831, 187, 1178, 788, 954, 856, 748, 1308, 717, 943, 867, 907, 1133, 761, 564, 1068, 867, 545, 357, 840, 526, 785, 1017, 331, 827, 1037, 890, 1051, 1194, 616, 609, 1043, 585, 
863, 244, 742, 911, 451, 781, 319, 640, -1, 878, 466, 247, 932, 487, 500, 826, 472, 411, 320, 1149, 796, 433, 527, 369, 334, 769, 683, 232, 998, 707, 665, 874, 750, 791, 863, 944, 634, 333, 1000, 545, 709, 499, 519, 1076, 701, 384, 1085, 692, 116, 623, 428, 818, 626, 863, 361, 536, 887, 583, 987, 609, 709, 567, 897, 629, 
448, 821, 246, 793, 1054, 1299, 685, 1231, 878, -1, 820, 873, 643, 563, 714, 884, 837, 913, 600, 905, 706, 714, 433, 604, 725, 151, 1100, 693, 973, 280, 696, 832, 1205, 247, 768, 569, 542, 780, 194, 669, 488, 576, 555, 684, 888, 677, 669, 608, 900, 1037, 642, 951, 929, 645, 927, 573, 536, 745, 707, 675, 797, 665, 821, 963, 
