44
[-1, 508, 542, 822, 1055, 327, 504, 383, 614, 648, 902, 834, 449, 686, 834, 935, 926, 656, 897, 545, 513, 437, 848, 416, 519, 892, 486, 342, 765, 751, 827, 739, 431, 875, 401, 299, 908, 689, 941, 653, 1014, 371, 571, 561, 
508, -1, 812, 775, 1048, 369, 494, 550, 1023, 397, 823, 914, 766, 582, 903, 1027, 844, 842, 621, 1028, 877, 295, 1003, 228, 978, 819, 745, 537, 586, 1128, 838, 855, 629, 782, 506, 711, 1023, 624, 1226, 712, 1064, 851, 452, 819, 
542, 812, -1, 574, 809, 766, 851, 784, 667, 649, 945, 805, 371, 654, 457, 460, 800, 702, 897, 609, 344, 851, 339, 850, 682, 622, 266, 794, 735, 634, 703, 1008, 793, 1087, 754, 698, 1080, 632, 766, 1080, 577, 527, 607, 240, 
822, 775, 574, -1, 400, 951, 795, 843, 914, 553, 574, 565, 664, 683, 244, 393, 376, 689, 435, 1084, 850, 860, 457, 899, 1034, 330, 525, 908, 424, 870, 717, 949, 886, 1014, 761, 962, 990, 611, 805, 1183, 362, 952, 716, 475, 
1055, 1048, 809, 400, -1, 1179, 993, 1017, 956, 841, 545, 472, 933, 856, 517, 592, 621, 633, 624, 1201, 1015, 1046, 647, 1126, 1107, 441, 795, 1122, 529, 976, 730, 1075, 970, 987, 911, 1095, 868, 729, 691, 1262, 455, 1092, 982, 634, 
327, 369, 766, 951, 1179, -1, 599, 526, 889, 587, 999, 997, 749, 599, 1025, 1115, 1080, 800, 915, 766, 685, 308, 1045, 232, 746, 948, 758, 490, 758, 1070, 805, 917, 497, 740, 509, 481, 992, 644, 1192, 506, 1169, 607, 477, 801, 
504, 494, 851, 795, 993, 599, -1, 194, 751, 755, 598, 659, 638, 906, 889, 1069, 720, 665, 675, 959, 954, 387, 1041, 440, 810, 970, 665, 250, 726, 846, 1034, 363, 461, 882, 219, 562, 755, 871, 966, 720, 1108, 784, 830, 753, 
383, 550, 784, 843, 1017, 526, 194, -1, 603, 792, 679, 663, 583, 884, 909, 1069, 828, 580, 799, 787, 831, 374, 1016, 433, 627, 987, 624, 144, 766, 757, 984, 397, 319, 840, 137, 375, 690, 844, 888, 615, 1116, 617, 816, 689, 
614, 1023, 667, 914, 956, 889, 751, 603, -1, 1071, 869, 640, 567, 1045, 864, 960, 996, 474, 1110, 488, 663, 864, 863, 928, 296, 1028, 588, 663, 970, 380, 986, 704, 561, 1048, 609, 456, 692, 962, 454, 911, 1008, 433, 1045, 520, 
648, 397, 649, 553, 841, 587, 755, 792, 1071, -1, 840, 894, 769, 315, 683, 748, 767, 836, 541, 1043, 768, 591, 744, 568, 1044, 493, 679, 809, 402, 1135, 594, 1073, 799, 820, 713, 866, 1112, 377, 1164, 933, 766, 890, 242, 689, 
902, 823, 945, 574, 545, 999, 598, 679, 869, 840, -1, 286, 877, 946, 743, 923, 526, 546, 453, 1203, 1122, 756, 950, 858, 1029, 747, 804, 801, 537, 942, 932, 646, 715, 850, 583, 908, 600, 838, 775, 1004, 868, 1050, 1002, 750, 
834, 914, 805, 565, 472, 997, 659, 663, 640, 894, 286, -1, 763, 938, 661, 819, 603, 352, 646, 1011, 963, 810, 816, 914, 833, 724, 686, 789, 601, 730, 861, 651, 647, 869, 575, 792, 499, 813, 492, 992, 772, 883, 1007, 577, 
449, 766, 371, 664, 933, 749, 638, 583, 567, 769, 877, 763, -1, 875, 563, 675, 705, 728, 890, 651, 579, 781, 597, 777, 650, 849, 156, 564, 848, 445, 971, 727, 726, 1178, 610, 607, 1038, 854, 763, 1058, 798, 539, 769, 380, 
686, 582, 654, 683, 856, 599, 906, 884, 1045, 315, 946, 938, 875, -1, 790, 802, 981, 780, 748, 944, 651, 661, 765, 660, 964, 487, 775, 917, 448, 1181, 331, 1209, 775, 680, 789, 836, 1068, 154, 1138, 856, 795, 816, 247, 695, 
834, 903, 457, 244, 517, 1025, 889, 909, 864, 683, 743, 661, 563, 790, -1, 211, 457, 761, 662, 1012, 780, 986, 272, 1011, 999, 462, 420, 955, 635, 741, 813, 1000, 969, 1180, 853, 981, 1099, 732, 747, 1295, 279, 908, 792, 391, 
935, 1027, 460, 393, 592, 1115, 1069, 1069, 960, 748, 923, 819, 675, 802, 211, -1, 657, 870, 820, 1036, 762, 1119, 145, 1136, 1066, 468, 529, 1109, 734, 839, 797, 1192, 1094, 1262, 1011, 1084, 1231, 754, 826, 1400, 180, 959, 822, 461, 
926, 844, 800, 376, 621, 1080, 720, 828, 996, 767, 526, 603, 705, 981, 457, 657, -1, 845, 442, 1258, 1098, 931, 727, 968, 1170, 696, 625, 883, 665, 876, 1058, 788, 982, 1209, 783, 1064, 1057, 923, 901, 1303, 667, 1114, 954, 686, 
656, 842, 702, 689, 633, 800, 665, 580, 474, 836, 546, 352, 728, 780, 761, 870, 845, -1, 798, 744, 731, 676, 815, 782, 562, 728, 663, 702, 595, 723, 667, 739, 413, 658, 481, 545, 389, 654, 504, 739, 842, 623, 867, 502, 
897, 621, 897, 435, 624, 915, 675, 799, 1110, 541, 453, 646, 890, 748, 662, 820, 442, 798, -1, 1304, 1110, 722, 877, 770, 1206, 571, 796, 870, 370, 1133, 856, 887, 871, 900, 706, 1032, 961, 695, 1070, 1088, 777, 1137, 767, 798, 
545, 1028, 609, 1084, 1201, 766, 959, 787, 488, 1043, 1203, 1011, 651, 944, 1012, 1036, 1258, 744, 1304, -1, 376, 908, 902, 920, 266, 1097, 682, 783, 1085, 686, 927, 1051, 688, 1094, 799, 458, 1017, 916, 842, 892, 1117, 183, 911, 634, 
513, 877, 344, 850, 1015, 685, 954, 831, 663, 768, 1122, 963, 579, 651, 780, 762, 1098, 731, 1110, 376, -1, 850, 629, 845, 532, 804, 539, 832, 865, 773, 665, 1131, 742, 1013, 804, 593, 1084, 644, 875, 945, 844, 343, 625, 464, 
