[-1, 742, 735, 648, 789, 997, 681, 333, 811, 667, 267, 1096, 1095, 657, 803, 809, 891, 625, 1114, 852, 425, 869, 609, 377, 799, 866, 747, 984, 876, 431, 741, 312, 771, 277, 775, 485, 616, 284, 787, 473, 463, 1064, 1042, 822, 810, 833, 495, 1071, 421, 972, 717, 766, 371, 1084, 913, 1131, 166, 
742, -1, 353, 670, 703, 562, 396, 465, 1056, 509, 839, 634, 642, 878, 859, 944, 352, 811, 774, 885, 385, 540, 214, 398, 567, 935, 1062, 563, 811, 889, 381, 648, 957, 606, 96, 498, 447, 754, 63, 529, 350, 688, 790, 360, 471, 352, 292, 483, 758, 645, 242, 172, 432, 836, 803, 749, 878, 
735, 353, -1, 579, 488, 426, 107, 599, 776, 300, 712, 475, 404, 930, 563, 640, 170, 616, 591, 852, 439, 632, 421, 373, 215, 603, 778, 275, 563, 700, 172, 550, 818, 494, 439, 688, 665, 705, 361, 447, 368, 459, 452, 163, 196, 624, 279, 492, 668, 558, 184, 491, 469, 756, 539, 452, 850, 
648, 670, 579, -1, 267, 512, 617, 619, 617, 297, 605, 617, 944, 439, 484, 581, 687, 270, 555, 296, 395, 409, 512, 477, 597, 678, 757, 690, 369, 567, 436, 703, 293, 492, 751, 568, 542, 408, 662, 217, 388, 590, 738, 528, 754, 634, 538, 651, 284, 391, 688, 811, 401, 446, 422, 910, 655, 
789, 703, 488, 267, -1, 381, 534, 769, 497, 209, 680, 454, 774, 705, 286, 410, 580, 271, 369, 489, 533, 535, 617, 553, 424, 481, 656, 502, 123, 590, 351, 741, 387, 557, 798, 769, 736, 587, 690, 349, 491, 378, 494, 429, 637, 759, 575, 589, 458, 334, 650, 865, 546, 423, 159, 700, 814, 
997, 562, 426, 512, 381, -1, 527, 847, 846, 356, 958, 116, 617, 893, 598, 722, 392, 638, 217, 674, 617, 445, 564, 656, 455, 727, 966, 345, 437, 906, 291, 906, 724, 766, 648, 819, 730, 849, 520, 548, 562, 186, 494, 270, 582, 616, 603, 234, 752, 209, 559, 732, 659, 399, 406, 580, 1068, 
681, 396, 107, 617, 534, 527, -1, 574, 752, 344, 650, 575, 419, 953, 562, 620, 254, 620, 678, 903, 445, 711, 458, 343, 218, 575, 721, 343, 604, 645, 259, 464, 841, 439, 471, 698, 697, 682, 418, 459, 377, 545, 477, 269, 151, 687, 255, 599, 660, 649, 184, 508, 464, 841, 583, 473, 802, 
333, 465, 599, 619, 769, 847, 574, -1, 972, 599, 538, 948, 970, 644, 873, 922, 713, 713, 1012, 819, 245, 671, 333, 260, 744, 958, 943, 866, 881, 660, 603, 418, 845, 378, 476, 232, 350, 437, 510, 431, 294, 957, 1005, 660, 703, 538, 322, 853, 528, 841, 527, 463, 225, 980, 906, 1044, 469, 
811, 1056, 776, 617, 497, 846, 752, 972, -1, 584, 569, 891, 985, 936, 255, 161, 913, 352, 799, 809, 812, 999, 973, 758, 622, 291, 254, 802, 443, 398, 731, 741, 517, 613, 1144, 1050, 1082, 654, 1067, 624, 782, 772, 648, 811, 827, 1181, 819, 1061, 558, 829, 923, 1188, 791, 875, 469, 881, 782, 
667, 509, 300, 297, 209, 356, 344, 599, 584, -1, 602, 444, 649, 703, 371, 477, 417, 346, 454, 576, 368, 489, 440, 369, 306, 510, 668, 409, 313, 555, 173, 585, 520, 422, 603, 630, 604, 525, 504, 238, 311, 399, 481, 271, 467, 624, 369, 514, 437, 376, 446, 666, 388, 535, 319, 622, 731, 
