42
[-1, 570, 214, 518, 595, 551, 632, 395, 354, 267, 645, 447, 629, 958, 459, 355, 494, 741, 682, 548, 687, 617, 483, 576, 678, 282, 588, 855, 672, 393, 671, 239, 953, 360, 678, 426, 554, 266, 248, 557, 227, 420, 
570, -1, 382, 311, 360, 729, 183, 734, 235, 579, 609, 481, 360, 469, 455, 669, 566, 173, 142, 204, 347, 796, 663, 449, 476, 564, 812, 417, 486, 238, 442, 557, 506, 512, 456, 413, 486, 835, 726, 263, 761, 231, 
214, 382, -1, 309, 517, 474, 486, 396, 149, 374, 491, 452, 422, 744, 450, 334, 361, 545, 478, 334, 476, 547, 400, 389, 624, 224, 539, 641, 480, 275, 472, 199, 739, 402, 617, 403, 380, 477, 347, 344, 437, 206, 
518, 311, 309, -1, 631, 438, 491, 498, 226, 664, 298, 670, 112, 464, 655, 439, 271, 391, 303, 114, 171, 499, 383, 139, 752, 359, 525, 348, 199, 417, 173, 376, 443, 656, 736, 605, 175, 769, 562, 67, 745, 139, 
595, 360, 517, 631, -1, 977, 209, 912, 443, 437, 920, 225, 706, 801, 193, 852, 835, 463, 485, 545, 705, 1050, 904, 768, 120, 741, 1049, 771, 825, 244, 787, 715, 853, 315, 105, 192, 792, 808, 828, 602, 692, 505, 
551, 729, 474, 438, 977, -1, 892, 203, 538, 807, 239, 925, 472, 838, 924, 206, 167, 829, 741, 550, 545, 73, 74, 340, 1091, 272, 87, 711, 393, 733, 437, 314, 782, 866, 1081, 877, 285, 679, 388, 503, 735, 501, 
632, 183, 486, 491, 209, 892, -1, 870, 363, 559, 790, 395, 544, 592, 364, 807, 734, 254, 284, 387, 527, 961, 823, 630, 312, 696, 972, 569, 670, 240, 625, 681, 648, 459, 289, 337, 664, 881, 830, 447, 785, 391, 
395, 734, 396, 498, 912, 203, 870, -1, 508, 662, 409, 817, 569, 949, 822, 64, 274, 867, 784, 595, 645, 249, 174, 450, 1016, 174, 205, 824, 530, 671, 561, 197, 908, 743, 1010, 780, 399, 480, 190, 564, 549, 505, 
354, 235, 149, 226, 443, 538, 363, 508, -1, 445, 484, 447, 331, 610, 435, 444, 391, 395, 330, 205, 368, 610, 466, 346, 561, 335, 615, 517, 422, 206, 399, 323, 616, 430, 548, 385, 358, 620, 490, 234, 567, 88, 
267, 579, 374, 664, 437, 807, 559, 662, 445, -1, 863, 228, 774, 1034, 254, 619, 725, 749, 717, 648, 814, 876, 736, 761, 482, 534, 851, 954, 850, 343, 835, 492, 1052, 128, 491, 245, 754, 387, 510, 679, 260, 532, 
645, 609, 491, 298, 920, 239, 790, 409, 484, 863, -1, 925, 279, 614, 916, 379, 155, 667, 580, 407, 342, 266, 236, 161, 1040, 378, 316, 489, 169, 690, 220, 418, 551, 889, 1025, 866, 127, 837, 562, 350, 861, 415, 
447, 481, 452, 670, 225, 925, 395, 817, 447, 228, 925, -1, 767, 949, 32, 764, 810, 627, 622, 616, 787, 998, 851, 793, 254, 662, 985, 894, 869, 260, 841, 626, 986, 100, 263, 68, 802, 615, 695, 663, 489, 531, 
629, 360, 422, 112, 706, 472, 544, 569, 331, 774, 279, 767, -1, 379, 750, 515, 312, 390, 304, 161, 75, 522, 430, 132, 826, 450, 559, 255, 128, 509, 81, 472, 344, 760, 808, 701, 187, 876, 656, 105, 857, 243, 
958, 469, 744, 464, 801, 838, 592, 949, 610, 1034, 614, 949, 379, -1, 923, 894, 686, 339, 327, 410, 303, 878, 804, 503, 903, 823, 922, 126, 446, 704, 401, 840, 90, 979, 879, 882, 558, 1220, 1027, 409, 1177, 538, 
459, 455, 450, 655, 193, 924, 364, 822, 435, 254, 916, 32, 750, 923, -1, 768, 804, 599, 596, 597, 768, 997, 850, 781, 229, 664, 986, 870, 854, 241, 825, 630, 961, 126, 237, 50, 792, 638, 706, 645, 514, 516, 
355, 669, 334, 439, 852, 206, 807, 64, 444, 619, 379, 764, 515, 894, 768, -1, 233, 804, 721, 533, 590, 265, 154, 401, 957, 111, 232, 770, 486, 610, 513, 138, 856, 694, 951, 725, 352, 476, 187, 504, 529, 441, 
