66
[-1, 250, 982, 672, 929, 1045, 128, 81, 895, 786, 1010, 961, 477, 84, 457, 559, 808, 935, 838, 25, 409, 685, 375, 551, 546, 918, 906, 932, 813, 1083, 548, 658, 703, 619, 960, 788, 617, 692, 742, 361, 533, 864, 832, 832, 67, 936, 406, 1078, 659, 781, 914, 738, 751, 908, 772, 924, 829, 254, 728, 877, 348, 364, 530, 480, 1003, 738, 
250, -1, 749, 432, 820, 856, 128, 177, 720, 538, 823, 718, 230, 296, 222, 362, 671, 693, 590, 248, 357, 522, 267, 521, 306, 676, 665, 707, 563, 858, 445, 435, 562, 581, 723, 552, 624, 576, 502, 118, 352, 628, 779, 747, 195, 686, 183, 893, 409, 725, 667, 511, 501, 743, 605, 724, 788, 299, 555, 635, 238, 309, 317, 262, 809, 584, 
982, 749, -1, 533, 637, 322, 875, 922, 355, 431, 316, 503, 525, 1042, 644, 445, 505, 105, 423, 972, 730, 436, 670, 774, 443, 504, 514, 82, 283, 133, 618, 327, 493, 766, 42, 197, 877, 568, 522, 678, 488, 563, 792, 688, 916, 297, 576, 361, 418, 764, 439, 246, 380, 400, 397, 239, 828, 859, 392, 149, 683, 733, 457, 503, 281, 448, 
672, 432, 533, -1, 940, 788, 544, 592, 718, 134, 765, 289, 268, 696, 216, 453, 770, 436, 180, 675, 676, 610, 572, 814, 288, 245, 233, 541, 253, 667, 672, 392, 681, 851, 493, 377, 933, 738, 70, 314, 490, 197, 994, 920, 625, 321, 379, 831, 139, 945, 248, 407, 154, 760, 655, 653, 1017, 700, 609, 383, 558, 643, 400, 381, 737, 670, 
929, 820, 637, 940, -1, 374, 894, 917, 281, 917, 355, 1068, 730, 1012, 892, 507, 170, 704, 941, 906, 520, 332, 566, 411, 666, 1051, 1053, 557, 789, 604, 384, 548, 269, 351, 661, 619, 431, 244, 974, 843, 489, 1075, 209, 121, 868, 882, 669, 367, 803, 219, 994, 554, 842, 236, 288, 398, 247, 687, 331, 699, 596, 564, 566, 610, 384, 270, 
1045, 856, 322, 788, 374, -1, 967, 1005, 159, 716, 35, 819, 677, 1120, 831, 494, 314, 419, 721, 1028, 691, 365, 677, 662, 591, 815, 822, 266, 566, 245, 544, 441, 375, 628, 360, 412, 734, 429, 797, 826, 513, 864, 570, 465, 978, 614, 674, 43, 653, 561, 751, 391, 651, 171, 281, 139, 609, 853, 319, 441, 701, 715, 540, 595, 51, 328, 
128, 128, 875, 544, 894, 967, -1, 49, 824, 658, 933, 833, 359, 167, 328, 473, 757, 821, 710, 133, 393, 619, 328, 552, 434, 789, 777, 831, 691, 982, 511, 558, 649, 617, 851, 679, 638, 651, 614, 233, 455, 735, 826, 809, 93, 811, 303, 1002, 534, 773, 786, 635, 625, 843, 705, 839, 829, 277, 657, 763, 297, 343, 434, 381, 922, 677, 
81, 177, 922, 592, 917, 1005, 49, -1, 859, 707, 970, 881, 407, 120, 376, 512, 785, 869, 759, 91, 406, 652, 352, 560, 481, 838, 825, 875, 740, 1027, 533, 602, 678, 626, 898, 725, 639, 675, 662, 282, 491, 782, 838, 827, 68, 861, 347, 1039, 584, 785, 835, 680, 675, 876, 738, 879, 839, 274, 692, 811, 322, 358, 477, 424, 961, 708, 
895, 720, 355, 718, 281, 159, 824, 859, -1, 670, 125, 804, 562, 972, 723, 359, 168, 426, 686, 877, 532, 210, 523, 506, 481, 791, 796, 276, 530, 336, 385, 336, 216, 475, 380, 360, 584, 273, 739, 704, 369, 826, 448, 341, 828, 610, 541, 185, 578, 428, 731, 311, 598, 47, 124, 117, 485, 696, 167, 426, 548, 558, 411, 465, 135, 169, 
786, 538, 431, 134, 917, 716, 658, 707, 670, -1, 697, 189, 337, 816, 337, 469, 750, 328, 52, 786, 731, 602, 631, 853, 322, 153, 149, 455, 151, 564, 699, 376, 675, 880, 389, 311, 972, 740, 93, 425, 514, 157, 999, 915, 733, 188, 447, 759, 149, 954, 129, 364, 75, 715, 629, 588, 1026, 781, 589, 284, 623, 705, 427, 426, 666, 655, 
1010, 823, 316, 765, 355, 35, 933, 970, 125, 697, -1, 806, 646, 1085, 801, 461, 284, 408, 704, 993, 656, 330, 642, 630, 561, 800, 807, 253, 548, 253, 510, 411, 341, 596, 351, 390, 703, 396, 776, 795, 479, 847, 547, 440, 943, 603, 640, 71, 628, 534, 737, 364, 630, 141, 246, 112, 585, 819, 284, 426, 666, 680, 507, 562, 34, 293, 
961, 718, 503, 289, 1068, 819, 833, 881, 804, 189, 806, -1, 526, 985, 505, 651, 906, 401, 143, 963, 920, 768, 821, 1037, 510, 44, 59, 553, 279, 623, 881, 546, 842, 1061, 462, 448, 1157, 911, 220, 601, 698, 124, 1168, 1079, 913, 205, 636, 860, 338, 1126, 74, 517, 254, 851, 783, 706, 1197, 970, 749, 381, 813, 894, 612, 614, 772, 816, 
477, 230, 525, 268, 730, 677, 359, 407, 562, 337, 646, 526, -1, 526, 163, 223, 564, 464, 387, 472, 408, 400, 303, 549, 87, 488, 480, 492, 336, 642, 415, 236, 461, 590, 497, 328, 668, 504, 331, 155, 246, 460, 750, 689, 417, 462, 111, 717, 193, 699, 465, 300, 285, 595, 466, 538, 770, 443, 416, 405, 291, 375, 164, 125, 626, 465, 
84, 296, 1042, 696, 1012, 1120, 167, 120, 972, 816, 1085, 985, 526, -1, 480, 630, 889, 989, 868, 108, 493, 763, 455, 635, 601, 941, 928, 996, 857, 1147, 630, 722, 784, 702, 1018, 846, 699, 774, 765, 394, 606, 880, 916, 916, 145, 975, 467, 1153, 698, 865, 942, 800, 788, 987, 850, 996, 913, 338, 804, 930, 427, 447, 596, 544, 1077, 817, 
457, 222, 644, 216, 892, 831, 328, 376, 723, 337, 801, 505, 163, 480, -1, 386, 727, 565, 388, 460, 523, 563, 418, 678, 242, 461, 449, 624, 402, 770, 561, 390, 623, 727, 610, 453, 792, 662, 285, 104, 405, 407, 901, 846, 412, 507, 237, 872, 238, 848, 461, 444, 318, 757, 630, 691, 918, 510, 579, 506, 397, 481, 327, 282, 780, 628, 
559, 362, 445, 453, 507, 494, 473, 512, 359, 469, 461, 651, 223, 630, 386, -1, 341, 429, 508, 545, 296, 177, 225, 388, 165, 621, 618, 382, 390, 529, 230, 127, 238, 411, 433, 275, 507, 286, 500, 349, 49, 619, 541, 471, 492, 518, 182, 531, 328, 492, 579, 203, 397, 385, 250, 366, 565, 414, 199, 382, 237, 291, 59, 108, 449, 242, 
808, 671, 505, 770, 170, 314, 757, 785, 168, 750, 284, 906, 564, 889, 727, 341, -1, 559, 776, 787, 413, 164, 434, 353, 497, 887, 888, 423, 626, 502, 264, 379, 109, 314, 523, 458, 419, 125, 805, 684, 327, 908, 287, 183, 744, 726, 510, 327, 633, 262, 832, 389, 675, 143, 122, 279, 323, 583, 161, 545, 463, 449, 400, 446, 301, 100, 
935, 693, 105, 436, 704, 419, 821, 869, 426, 328, 408, 401, 464, 989, 565, 429, 559, -1, 318, 927, 724, 461, 652, 789, 388, 400, 409, 155, 182, 236, 628, 302, 527, 791, 63, 154, 899, 602, 420, 611, 476, 458, 843, 742, 871, 195, 530, 459, 331, 809, 335, 227, 282, 473, 442, 316, 877, 837, 425, 59, 659, 720, 427, 465, 374, 487, 
838, 590, 423, 180, 941, 721, 710, 759, 686, 52, 704, 143, 387, 868, 388, 508, 776, 318, -1, 838, 776, 632, 678, 894, 367, 113, 112, 456, 157, 554, 739, 408, 706, 919, 381, 326, 1014, 773, 127, 477, 555, 142, 1032, 945, 785, 154, 496, 763, 196, 988, 78, 387, 111, 732, 654, 598, 1060, 831, 616, 282, 671, 752, 469, 471, 672, 683, 
