[-1, 698, 1003, 851, 587, 296, 827, 825, 713, 490, 532, 866, 865, 483, 768, 271, 512, 484, 613, 439, 441, 243, 283, 299, 715, 920, 568, 495, 566, 548, 627, 575, 651, 714, 188, 486, 246, 482, 676, 544, 903, 769, 947, 952, 334, 378, 630, 561, 218, 930, 732, 553, 462, 610, 578, 553, 827, 566, 383, 614, 670, 421, 
698, -1, 627, 692, 595, 725, 866, 343, 895, 423, 709, 1142, 766, 841, 802, 659, 958, 298, 383, 768, 724, 808, 631, 541, 835, 988, 817, 1123, 288, 608, 473, 758, 747, 620, 845, 971, 623, 757, 908, 230, 258, 874, 289, 334, 537, 981, 298, 510, 764, 999, 827, 1006, 477, 154, 1002, 301, 621, 359, 727, 277, 276, 1095, 
1003, 627, -1, 388, 1045, 1036, 668, 785, 846, 933, 632, 1014, 358, 952, 500, 1088, 916, 562, 594, 911, 1243, 1102, 1071, 803, 921, 625, 719, 1205, 830, 969, 549, 689, 609, 1025, 1122, 1029, 1008, 813, 736, 723, 568, 766, 510, 401, 1015, 1134, 698, 694, 1093, 644, 757, 1048, 1000, 628, 920, 519, 997, 875, 1185, 785, 683, 1275, 
851, 692, 388, -1, 862, 988, 282, 735, 472, 815, 567, 1036, 426, 635, 483, 1018, 729, 538, 428, 899, 1160, 872, 913, 603, 573, 637, 438, 1000, 759, 1035, 669, 375, 282, 831, 911, 729, 950, 798, 443, 657, 774, 857, 726, 634, 967, 1008, 812, 785, 1005, 673, 850, 727, 998, 603, 736, 441, 817, 934, 1133, 708, 598, 1038, 
587, 595, 1045, 862, -1, 801, 847, 440, 729, 210, 916, 1380, 1096, 587, 1073, 634, 972, 602, 458, 953, 565, 503, 345, 424, 548, 1265, 817, 1010, 314, 884, 893, 732, 776, 154, 603, 768, 663, 968, 917, 379, 851, 1205, 865, 884, 564, 962, 764, 883, 746, 1287, 1163, 779, 606, 476, 1030, 550, 285, 676, 704, 324, 397, 860, 
296, 725, 1036, 988, 801, -1, 1026, 949, 958, 645, 543, 735, 879, 758, 784, 222, 605, 536, 777, 258, 465, 534, 488, 531, 983, 908, 742, 600, 681, 313, 537, 772, 828, 931, 457, 730, 150, 368, 840, 656, 867, 627, 933, 954, 308, 355, 536, 417, 120, 905, 581, 805, 392, 697, 660, 660, 1033, 475, 281, 741, 805, 609, 
827, 866, 668, 282, 847, 1026, -1, 851, 231, 854, 637, 1093, 609, 467, 601, 1047, 660, 674, 518, 960, 1177, 779, 894, 586, 401, 735, 340, 890, 843, 1150, 844, 264, 206, 816, 827, 554, 990, 866, 318, 759, 1003, 978, 965, 885, 1022, 970, 982, 932, 1012, 775, 976, 526, 1084, 742, 666, 578, 824, 1065, 1168, 799, 708, 905, 
825, 343, 785, 735, 440, 949, 851, -1, 852, 389, 928, 1413, 970, 824, 1010, 828, 1112, 526, 362, 1030, 815, 836, 662, 597, 711, 1205, 903, 1255, 283, 900, 784, 808, 800, 385, 914, 1008, 821, 1017, 989, 296, 532, 1168, 515, 537, 710, 1167, 631, 825, 949, 1226, 1126, 1021, 677, 290, 1159, 439, 327, 627, 898, 214, 183, 1173, 
713, 895, 846, 472, 729, 958, 231, 852, -1, 771, 675, 1128, 761, 270, 716, 954, 614, 693, 528, 937, 1061, 609, 763, 492, 241, 858, 328, 771, 799, 1129, 902, 244, 276, 716, 669, 385, 913, 866, 343, 736, 1078, 1038, 1056, 995, 945, 880, 1006, 959, 918, 894, 1030, 341, 1028, 752, 634, 608, 753, 1047, 1072, 767, 706, 737, 
490, 423, 933, 815, 210, 645, 854, 389, 771, -1, 790, 1238, 979, 623, 958, 484, 898, 440, 398, 794, 453, 499, 278, 355, 642, 1150, 775, 960, 143, 685, 712, 705, 743, 317, 570, 776, 502, 816, 883, 218, 679, 1042, 709, 739, 388, 861, 559, 692, 613, 1166, 995, 806, 411, 325, 957, 425, 408, 466, 556, 198, 310, 846, 
532, 709, 632, 567, 916, 543, 637, 928, 675, 790, -1, 516, 369, 629, 247, 678, 334, 422, 618, 366, 903, 681, 745, 506, 808, 393, 366, 603, 771, 641, 365, 431, 438, 980, 642, 588, 584, 246, 422, 676, 794, 365, 812, 766, 686, 519, 604, 407, 590, 403, 355, 644, 741, 655, 350, 491, 1037, 708, 783, 777, 750, 723, 
866, 1142, 1014, 1036, 1380, 735, 1093, 1413, 1128, 1238, 516, -1, 690, 1062, 568, 950, 566, 887, 1129, 487, 1197, 1048, 1133, 974, 1291, 500, 800, 717, 1227, 817, 687, 901, 913, 1467, 963, 937, 859, 424, 812, 1145, 1165, 302, 1200, 1166, 1003, 606, 934, 670, 806, 470, 344, 1002, 1052, 1126, 544, 988, 1537, 1028, 1013, 1250, 1242, 931, 
865, 766, 358, 426, 1096, 879, 609, 970, 761, 979, 369, 690, -1, 837, 157, 992, 630, 560, 678, 695, 1196, 983, 1022, 738, 910, 272, 520, 937, 915, 886, 468, 551, 488, 1114, 972, 839, 899, 571, 518, 804, 764, 498, 744, 659, 963, 886, 728, 593, 937, 294, 508, 870, 983, 738, 619, 570, 1127, 894, 1096, 892, 817, 1060, 
483, 841, 952, 635, 587, 758, 467, 824, 270, 623, 629, 1062, 837, -1, 760, 734, 522, 624, 524, 791, 831, 343, 537, 327, 301, 913, 351, 590, 690, 970, 846, 301, 390, 627, 407, 215, 709, 754, 426, 647, 1057, 985, 1058, 1021, 747, 684, 912, 862, 696, 941, 968, 203, 850, 696, 565, 578, 710, 908, 848, 685, 669, 502, 
768, 802, 500, 483, 1073, 784, 601, 1010, 716, 958, 247, 568, 157, 760, -1, 915, 483, 552, 694, 587, 1132, 891, 958, 681, 881, 197, 430, 790, 914, 835, 461, 489, 448, 1108, 866, 729, 820, 457, 430, 807, 834, 416, 829, 756, 906, 747, 734, 558, 836, 221, 431, 767, 944, 760, 468, 582, 1139, 879, 1019, 902, 842, 928, 
271, 659, 1088, 1018, 634, 222, 1047, 828, 954, 484, 678, 950, 992, 734, 915, -1, 737, 535, 720, 466, 247, 459, 317, 480, 924, 1065, 806, 710, 546, 375, 632, 806, 867, 776, 418, 757, 100, 557, 916, 554, 843, 818, 909, 945, 135, 512, 535, 523, 184, 1068, 769, 823, 255, 621, 799, 636, 885, 404, 121, 617, 708, 641, 
512, 958, 916, 729, 972, 605, 660, 1112, 614, 898, 334, 566, 630, 522, 483, 737, -1, 660, 778, 482, 948, 585, 764, 558, 779, 555, 325, 314, 929, 829, 679, 431, 488, 1047, 526, 373, 665, 409, 358, 855, 1093, 589, 1111, 1068, 793, 379, 873, 680, 597, 569, 593, 435, 891, 868, 66, 705, 1129, 921, 841, 942, 929, 478, 
484, 298, 562, 538, 602, 536, 674, 526, 693, 440, 422, 887, 560, 624, 552, 535, 660, -1, 311, 530, 683, 616, 528, 335, 697, 742, 544, 845, 374, 523, 304, 509, 510, 655, 632, 713, 468, 496, 639, 273, 460, 650, 485, 472, 459, 721, 314, 347, 573, 756, 609, 757, 467, 239, 704, 146, 695, 400, 636, 377, 361, 849, 
