[-1, 969, 786, 0, 578, 0, 0, 0, 48, 0, 911, 0, 926, 6, 0, 0, 769, 888, 667, 0, 0, 0, 553, 785, 157, 551, 270, 0, 245, 0, 117, 0, 553, 0, 123, 196, 563, 0, 0, 0, 0, 671, 284, 708, 308, 143, 484, 0, 0, 878, 
890, -1, 283, 0, 566, 685, 809, 0, 189, 433, 303, 0, 0, 456, 330, 411, 848, 950, 240, 819, 0, 659, 245, 0, 0, 523, 220, 0, 0, 0, 0, 0, 0, 0, 814, 0, 747, 0, 0, 0, 0, 846, 0, 736, 0, 0, 0, 182, 27, 572, 
0, 0, -1, 0, 232, 305, 0, 0, 0, 0, 391, 676, 28, 286, 368, 13, 0, 200, 514, 941, 0, 504, 271, 862, 0, 0, 0, 0, 447, 850, 840, 150, 930, 660, 0, 525, 403, 0, 0, 0, 790, 0, 830, 0, 242, 0, 811, 804, 233, 587, 
358, 0, 648, -1, 0, 298, 0, 0, 489, 302, 928, 0, 276, 0, 0, 0, 0, 0, 572, 620, 583, 0, 543, 0, 0, 673, 0, 248, 0, 701, 0, 0, 961, 0, 660, 464, 0, 404, 448, 0, 0, 0, 662, 0, 139, 154, 387, 17, 0, 38, 
721, 0, 0, 0, -1, 495, 0, 531, 0, 402, 0, 0, 900, 0, 263, 420, 0, 566, 382, 247, 371, 0, 0, 0, 930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 644, 0, 848, 0, 162, 0, 0, 777, 730, 0, 0, 478, 0, 0, 43, 
815, 0, 0, 838, 860, -1, 297, 406, 287, 104, 0, 935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 642, 945, 0, 347, 642, 847, 0, 116, 0, 0, 123, 186, 0, 0, 142, 0, 0, 0, 922, 833, 281, 710, 0, 888, 197, 832, 0, 774, 
0, 881, 830, 460, 0, 714, -1, 0, 0, 618, 417, 0, 0, 404, 463, 0, 101, 0, 963, 713, 0, 59, 645, 0, 0, 903, 370, 884, 674, 294, 0, 0, 0, 871, 0, 526, 55, 0, 0, 0, 0, 805, 0, 0, 0, 0, 0, 366, 0, 547, 
708, 0, 0, 842, 363, 536, 966, -1, 0, 138, 0, 0, 0, 935, 927, 0, 0, 0, 217, 0, 0, 266, 688, 39, 0, 59, 794, 781, 558, 0, 0, 350, 0, 853, 0, 132, 0, 236, 151, 0, 0, 859, 0, 340, 0, 500, 0, 346, 0, 458, 
328, 150, 586, 499, 84, 587, 379, 0, -1, 0, 19, 0, 0, 0, 875, 0, 0, 134, 0, 0, 170, 853, 0, 0, 167, 0, 952, 0, 871, 769, 733, 88, 0, 0, 0, 319, 864, 0, 570, 0, 0, 0, 787, 234, 536, 0, 158, 0, 0, 436, 
149, 485, 0, 744, 0, 353, 0, 977, 0, -1, 0, 801, 334, 897, 0, 694, 211, 766, 0, 963, 0, 0, 743, 0, 0, 0, 0, 0, 0, 0, 794, 0, 0, 0, 0, 0, 723, 206, 0, 0, 530, 523, 0, 767, 389, 0, 0, 23, 757, 209, 
781, 487, 0, 92, 179, 239, 0, 703, 0, 0, -1, 43, 0, 844, 0, 0, 78, 0, 0, 0, 511, 0, 746, 544, 0, 0, 0, 667, 436, 0, 0, 430, 0, 0, 0, 0, 760, 183, 0, 0, 0, 317, 0, 757, 393, 0, 456, 988, 0, 30, 
242, 0, 0, 0, 0, 187, 437, 0, 0, 558, 0, -1, 594, 878, 331, 140, 0, 793, 0, 951, 342, 172, 0, 698, 931, 455, 743, 0, 572, 0, 102, 37, 229, 774, 588, 0, 77, 0, 266, 318, 977, 218, 839, 497, 0, 788, 384, 0, 0, 580, 
0, 0, 0, 0, 805, 0, 0, 310, 0, 0, 331, 0, -1, 0, 598, 0, 686, 188, 0, 701, 559, 0, 484, 0, 0, 461, 932, 482, 169, 196, 0, 0, 908, 497, 0, 550, 920, 0, 329, 191, 805, 358, 320, 0, 0, 0, 939, 162, 489, 867, 
313, 0, 0, 0, 493, 0, 0, 0, 0, 0, 701, 161, 536, -1, 0, 0, 910, 212, 819, 770, 0, 0, 797, 974, 0, 592, 0, 0, 676, 0, 628, 0, 212, 28, 51, 701, 0, 0, 941, 0, 897, 0, 616, 0, 0, 405, 714, 866, 0, 0, 
0, 0, 18, 514, 0, 990, 510, 531, 0, 0, 646, 18, 965, 507, -1, 604, 49, 0, 0, 0, 0, 0, 1000, 67, 390, 127, 652, 0, 581, 872, 0, 280, 0, 644, 610, 900, 0, 0, 0, 0, 652, 364, 971, 0, 251, 0, 775, 0, 291, 394, 
0, 0, 607, 552, 0, 182, 0, 595, 0, 449, 0, 0, 0, 0, 0, -1, 0, 700, 368, 518, 0, 0, 0, 0, 0, 497, 990, 123, 0, 945, 103, 100, 24, 746, 817, 0, 225, 0, 106, 0, 0, 0, 0, 147, 952, 0, 0, 0, 803, 805, 
0, 0, 130, 507, 733, 0, 0, 356, 0, 573, 403, 789, 0, 0, 0, 737, -1, 0, 0, 282, 258, 756, 0, 278, 398, 0, 639, 0, 617, 0, 640, 358, 502, 127, 352, 6, 0, 284, 0, 0, 0, 3, 0, 824, 301, 52, 0, 278, 0, 0, 
