[-1, 0, 585, 534, 478, 0, 0, 0, 391, 373, 402, 919, 0, 0, 498, 0, 0, 0, 320, 326, 160, 744, 8, 0, 70, 231, 691, 0, 0, 797, 0, 449, 881, 0, 490, 205, 514, 289, 471, 818, 352, 673, 0, 0, 673, 64, 729, 311, 201, 0, 188, 0, 905, 295, 152, 0, 240, 0, 0, 0, 453, 0, 0, 732, 307, 0, 0, 
0, -1, 0, 733, 559, 930, 0, 0, 0, 0, 0, 169, 17, 0, 972, 110, 985, 0, 603, 0, 0, 0, 640, 347, 829, 0, 0, 0, 0, 0, 0, 74, 0, 284, 0, 119, 744, 289, 367, 0, 944, 898, 26, 337, 69, 950, 0, 0, 0, 957, 541, 0, 0, 0, 633, 102, 8, 898, 888, 0, 638, 0, 0, 0, 873, 0, 0, 
785, 577, -1, 0, 553, 0, 0, 0, 0, 0, 0, 0, 561, 140, 0, 0, 0, 978, 0, 0, 0, 0, 0, 0, 266, 171, 534, 0, 0, 0, 527, 0, 0, 0, 515, 587, 813, 0, 0, 489, 0, 0, 349, 759, 932, 0, 883, 695, 122, 651, 760, 0, 715, 257, 103, 455, 0, 0, 466, 752, 380, 0, 285, 347, 509, 0, 13, 
0, 0, 0, -1, 0, 917, 0, 0, 0, 0, 0, 0, 0, 61, 725, 0, 800, 24, 876, 803, 0, 686, 307, 0, 0, 636, 662, 0, 914, 0, 0, 0, 644, 0, 696, 86, 389, 0, 0, 506, 195, 0, 0, 556, 0, 666, 0, 704, 0, 0, 661, 344, 0, 891, 0, 0, 0, 0, 0, 43, 50, 920, 454, 5, 72, 670, 0, 
0, 0, 0, 0, -1, 69, 828, 565, 930, 534, 0, 0, 199, 688, 0, 358, 353, 352, 446, 22, 351, 0, 0, 0, 514, 0, 0, 478, 0, 417, 908, 0, 455, 0, 0, 0, 625, 111, 36, 287, 805, 931, 0, 0, 0, 699, 0, 740, 0, 0, 330, 573, 0, 781, 155, 0, 728, 0, 557, 0, 420, 0, 0, 916, 914, 520, 366, 
0, 0, 0, 0, 0, -1, 0, 894, 0, 367, 0, 0, 0, 493, 164, 0, 0, 322, 29, 632, 0, 0, 464, 0, 0, 389, 0, 0, 931, 168, 885, 214, 0, 357, 665, 0, 0, 423, 0, 114, 0, 516, 721, 257, 0, 699, 0, 0, 0, 546, 141, 0, 0, 41, 0, 685, 0, 140, 39, 0, 779, 0, 0, 0, 0, 0, 11, 
0, 0, 502, 0, 0, 0, -1, 0, 881, 319, 455, 0, 0, 0, 457, 927, 720, 0, 20, 414, 0, 0, 0, 537, 0, 0, 0, 597, 0, 0, 0, 0, 0, 907, 0, 0, 420, 0, 0, 201, 0, 0, 0, 0, 0, 458, 0, 0, 163, 0, 0, 0, 0, 0, 332, 0, 607, 0, 665, 750, 0, 0, 61, 0, 0, 450, 0, 
594, 0, 0, 0, 124, 0, 0, -1, 0, 0, 148, 600, 0, 763, 0, 246, 0, 0, 0, 0, 667, 572, 0, 0, 81, 568, 713, 133, 92, 0, 349, 702, 737, 0, 506, 0, 459, 0, 0, 0, 0, 0, 498, 499, 87, 0, 128, 174, 479, 0, 855, 800, 822, 0, 0, 954, 0, 249, 0, 0, 0, 300, 0, 281, 466, 0, 731, 
0, 77, 0, 0, 933, 767, 0, 0, -1, 0, 187, 255, 0, 0, 0, 701, 283, 0, 899, 0, 0, 0, 663, 0, 0, 0, 0, 664, 467, 0, 386, 0, 0, 486, 0, 183, 516, 0, 925, 0, 0, 896, 794, 0, 0, 0, 54, 269, 0, 0, 0, 135, 902, 0, 0, 0, 518, 907, 844, 0, 197, 886, 494, 0, 0, 856, 0, 
0, 0, 560, 0, 0, 514, 0, 0, 647, -1, 409, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 817, 485, 0, 849, 128, 0, 93, 0, 609, 648, 363, 0, 218, 0, 0, 0, 0, 0, 45, 0, 0, 0, 255, 679, 618, 0, 326, 276, 0, 185, 0, 459, 62, 205, 0, 0, 71, 391, 0, 0, 0, 0, 0, 0, 277, 498, 
0, 0, 0, 454, 948, 0, 0, 0, 0, 0, -1, 0, 138, 0, 525, 12, 0, 0, 0, 0, 321, 750, 871, 0, 778, 996, 0, 0, 0, 644, 0, 57, 11, 229, 0, 10, 970, 375, 475, 0, 0, 0, 246, 0, 647, 0, 639, 0, 0, 0, 391, 888, 0, 317, 0, 0, 0, 0, 0, 0, 0, 142, 0, 154, 801, 0, 807, 
0, 0, 822, 530, 743, 788, 0, 0, 243, 173, 458, -1, 697, 0, 85, 283, 0, 0, 822, 0, 0, 528, 0, 0, 0, 520, 0, 0, 0, 772, 414, 0, 647, 46, 204, 0, 0, 198, 868, 259, 30, 16, 0, 911, 112, 0, 0, 0, 272, 88, 0, 961, 0, 595, 620, 0, 0, 586, 0, 910, 624, 172, 509, 0, 813, 600, 631, 
