[-1, 0, 457, 0, 0, 715, 0, 0, 0, 0, 713, 725, 0, 372, 896, 0, 0, 237, 0, 377, 0, 0, 0, 0, 0, 800, 592, 85, 764, 772, 715, 0, 0, 237, 0, 649, 0, 0, 0, 938, 936, 16, 299, 46, 0, 0, 0, 558, 0, 465, 787, 0, 417, 997, 0, 0, 0, 0, 783, 631, 0, 0, 945, 0, 700, 295, 739, 0, 969, 0, 308, 0, 352, 0, 528, 0, 
0, -1, 471, 879, 0, 0, 0, 0, 860, 647, 0, 0, 555, 0, 0, 0, 758, 0, 0, 0, 87, 0, 0, 0, 469, 327, 254, 982, 0, 751, 393, 57, 902, 977, 0, 0, 0, 0, 515, 0, 593, 612, 0, 0, 0, 0, 802, 0, 0, 143, 805, 713, 922, 537, 627, 85, 354, 109, 0, 0, 0, 0, 0, 968, 0, 0, 0, 0, 607, 0, 603, 221, 0, 0, 137, 502, 
0, 0, -1, 609, 0, 0, 0, 0, 528, 0, 698, 0, 0, 927, 736, 643, 0, 839, 0, 757, 0, 531, 725, 0, 0, 961, 990, 490, 0, 371, 442, 948, 0, 0, 604, 0, 0, 121, 0, 0, 479, 0, 277, 0, 0, 673, 90, 878, 603, 165, 85, 0, 142, 462, 0, 0, 366, 0, 0, 259, 811, 956, 0, 0, 606, 0, 0, 0, 0, 0, 599, 0, 111, 928, 0, 0, 
570, 0, 0, -1, 926, 54, 695, 340, 239, 604, 781, 0, 449, 862, 0, 329, 0, 639, 0, 643, 133, 406, 0, 979, 0, 614, 0, 90, 881, 347, 0, 1000, 0, 0, 708, 0, 752, 0, 0, 607, 0, 873, 0, 0, 0, 0, 0, 0, 0, 12, 805, 0, 398, 564, 0, 424, 0, 963, 0, 700, 0, 458, 0, 78, 0, 0, 573, 845, 218, 0, 303, 275, 713, 477, 0, 605, 
975, 475, 214, 121, -1, 0, 245, 0, 0, 455, 619, 0, 893, 0, 0, 0, 0, 0, 0, 492, 0, 589, 0, 37, 0, 271, 789, 833, 376, 0, 0, 0, 562, 129, 0, 690, 0, 0, 281, 906, 0, 264, 0, 0, 0, 535, 586, 0, 0, 539, 499, 448, 0, 0, 0, 0, 413, 0, 360, 0, 606, 0, 610, 697, 0, 0, 636, 0, 0, 398, 161, 0, 563, 458, 0, 0, 
861, 476, 390, 346, 398, -1, 0, 884, 227, 0, 849, 0, 0, 579, 252, 542, 0, 874, 0, 491, 381, 567, 0, 0, 0, 990, 0, 0, 930, 0, 952, 0, 0, 271, 574, 0, 0, 176, 0, 557, 0, 908, 0, 0, 734, 769, 0, 0, 0, 0, 0, 0, 0, 866, 340, 472, 0, 154, 0, 584, 0, 0, 0, 0, 0, 605, 0, 70, 0, 0, 0, 0, 903, 0, 0, 0, 
0, 0, 888, 0, 604, 0, -1, 0, 885, 0, 289, 0, 378, 301, 0, 335, 814, 0, 406, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 952, 0, 527, 398, 0, 0, 529, 0, 0, 0, 639, 0, 817, 853, 796, 938, 0, 0, 609, 0, 592, 0, 0, 0, 618, 0, 0, 938, 0, 0, 0, 0, 71, 558, 0, 0, 0, 869, 491, 662, 0, 674, 0, 0, 383, 0, 
0, 0, 916, 606, 0, 261, 546, -1, 0, 0, 0, 0, 0, 951, 614, 0, 0, 838, 401, 68, 152, 728, 0, 0, 479, 0, 0, 0, 768, 851, 539, 351, 983, 727, 0, 0, 0, 717, 97, 35, 0, 0, 0, 0, 903, 0, 0, 0, 0, 721, 138, 131, 0, 0, 0, 332, 0, 0, 702, 620, 0, 0, 630, 986, 640, 0, 0, 118, 0, 733, 0, 223, 0, 0, 801, 0, 
74, 0, 0, 240, 0, 0, 942, 337, -1, 591, 0, 200, 0, 553, 705, 0, 0, 0, 0, 499, 0, 0, 970, 59, 0, 0, 621, 928, 0, 0, 1000, 45, 32, 68, 977, 644, 204, 0, 0, 0, 0, 0, 302, 344, 0, 263, 485, 886, 0, 0, 798, 699, 996, 37, 0, 154, 0, 0, 0, 0, 68, 0, 634, 0, 0, 799, 0, 392, 535, 0, 942, 0, 565, 0, 0, 0, 
0, 0, 0, 953, 0, 28, 340, 88, 0, -1, 0, 0, 273, 0, 167, 148, 114, 102, 992, 496, 0, 0, 888, 0, 0, 944, 433, 0, 526, 6, 0, 0, 311, 0, 425, 554, 716, 679, 0, 657, 0, 0, 393, 0, 737, 0, 774, 0, 655, 372, 0, 422, 0, 295, 0, 301, 0, 0, 353, 863, 78, 0, 0, 0, 0, 676, 0, 0, 0, 162, 768, 113, 0, 0, 0, 674, 
