[-1, 0, 0, 0, 132, 650, 10, 659, 0, 260, 591, 0, 0, 0, 757, 0, 0, 476, 389, 642, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 649, 749, 0, 0, 0, 725, 0, 615, 0, 0, 0, 132, 0, 0, 818, 
0, -1, 170, 326, 684, 0, 489, 263, 0, 0, 631, 598, 0, 0, 0, 0, 0, 0, 0, 970, 216, 0, 0, 340, 935, 0, 414, 0, 40, 0, 0, 363, 447, 0, 0, 0, 0, 665, 611, 0, 0, 0, 0, 536, 616, 
399, 651, -1, 465, 180, 0, 48, 0, 0, 839, 365, 751, 140, 155, 778, 245, 0, 208, 522, 155, 0, 928, 0, 0, 965, 0, 0, 0, 469, 0, 75, 622, 445, 0, 142, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 
392, 802, 807, -1, 0, 709, 0, 970, 139, 224, 186, 0, 0, 748, 0, 0, 0, 0, 913, 0, 390, 318, 795, 794, 0, 0, 313, 0, 9, 0, 0, 994, 0, 0, 0, 10, 809, 0, 0, 490, 0, 0, 752, 0, 678, 
613, 527, 0, 0, -1, 27, 0, 859, 789, 80, 0, 0, 248, 0, 0, 86, 0, 0, 818, 0, 0, 0, 514, 0, 0, 0, 310, 0, 665, 512, 0, 718, 0, 0, 0, 0, 248, 0, 943, 0, 0, 247, 33, 10, 0, 
468, 0, 0, 37, 0, -1, 217, 711, 0, 671, 0, 206, 0, 0, 846, 0, 393, 0, 535, 0, 0, 0, 0, 27, 633, 318, 212, 575, 0, 971, 0, 488, 0, 0, 0, 401, 778, 0, 0, 0, 711, 717, 469, 0, 0, 
0, 367, 0, 0, 0, 119, -1, 986, 833, 0, 276, 0, 337, 968, 782, 287, 323, 834, 64, 99, 683, 523, 0, 0, 975, 381, 985, 0, 0, 762, 0, 0, 0, 442, 794, 446, 637, 975, 240, 469, 215, 0, 148, 0, 0, 
0, 853, 475, 828, 0, 237, 0, -1, 355, 0, 0, 0, 134, 0, 0, 530, 867, 0, 833, 0, 313, 659, 26, 73, 0, 0, 0, 0, 0, 574, 433, 342, 284, 348, 0, 28, 0, 0, 822, 0, 0, 0, 801, 766, 0, 
953, 633, 0, 0, 32, 0, 0, 0, -1, 0, 855, 0, 0, 988, 876, 817, 0, 246, 0, 850, 176, 125, 808, 0, 545, 0, 0, 0, 0, 0, 538, 613, 430, 510, 0, 0, 0, 0, 0, 322, 0, 0, 0, 313, 0, 
668, 0, 0, 0, 813, 799, 363, 0, 845, -1, 0, 0, 90, 0, 674, 541, 162, 745, 791, 381, 130, 774, 543, 0, 0, 0, 0, 0, 791, 421, 0, 425, 838, 0, 442, 276, 369, 0, 0, 310, 0, 0, 876, 815, 0, 
186, 0, 434, 0, 0, 23, 712, 0, 186, 0, -1, 85, 0, 0, 100, 812, 0, 800, 271, 309, 159, 0, 637, 156, 0, 727, 372, 0, 0, 0, 636, 157, 0, 60, 0, 847, 0, 196, 413, 226, 976, 699, 369, 0, 0, 
0, 0, 0, 184, 0, 0, 0, 0, 244, 700, 883, -1, 0, 0, 0, 105, 836, 0, 110, 752, 151, 0, 779, 0, 0, 215, 953, 91, 778, 973, 625, 0, 671, 0, 674, 826, 795, 802, 373, 0, 639, 982, 0, 0, 0, 
474, 781, 0, 848, 147, 0, 863, 0, 849, 98, 0, 0, -1, 786, 0, 0, 879, 556, 39, 0, 175, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 716, 808, 0, 730, 155, 0, 925, 0, 0, 780, 0, 0, 390, 
881, 367, 588, 996, 0, 17, 0, 593, 441, 328, 44, 0, 0, -1, 960, 0, 0, 0, 0, 0, 0, 0, 0, 881, 0, 140, 0, 0, 0, 581, 182, 89, 0, 0, 169, 30, 865, 0, 0, 0, 0, 0, 203, 784, 0, 
0, 0, 0, 0, 734, 423, 680, 0, 568, 0, 295, 0, 440, 0, -1, 0, 0, 266, 64, 113, 0, 0, 0, 0, 520, 0, 330, 0, 0, 0, 0, 237, 0, 595, 60, 425, 202, 0, 130, 780, 0, 603, 860, 592, 123, 
0, 0, 0, 478, 0, 0, 0, 0, 0, 420, 711, 331, 49, 788, 649, -1, 317, 339, 959, 0, 443, 0, 0, 870, 0, 708, 0, 0, 180, 0, 0, 218, 247, 0, 0, 540, 0, 189, 267, 153, 137, 58, 0, 816, 0, 
502, 556, 913, 0, 0, 944, 0, 877, 955, 489, 64, 696, 0, 234, 0, 0, -1, 544, 40, 0, 0, 0, 49, 0, 341, 0, 532, 106, 797, 0, 437, 0, 0, 649, 0, 664, 910, 526, 697, 0, 0, 0, 0, 691, 741, 
