[-1, 380, 523, 0, 0, 225, 932, 0, 530, 381, 174, 0, 0, 830, 0, 0, 0, 42, 0, 965, 635, 221, 373, 0, 987, 545, 0, 581, 0, 0, 0, 0, 857, 864, 0, 0, 160, 0, 0, 0, 968, 0, 551, 0, 260, 275, 68, 314, 802, 944, 285, 888, 368, 0, 930, 926, 0, 416, 0, 290, 768, 217, 709, 0, 0, 0, 0, 664, 637, 
0, -1, 9, 0, 577, 991, 50, 826, 0, 0, 727, 55, 421, 0, 649, 513, 251, 0, 699, 944, 378, 0, 0, 322, 0, 761, 260, 0, 0, 711, 0, 389, 0, 0, 520, 601, 0, 0, 0, 426, 578, 115, 278, 0, 0, 0, 946, 0, 0, 0, 850, 396, 0, 0, 817, 0, 0, 0, 35, 0, 0, 843, 57, 38, 0, 0, 488, 494, 616, 
0, 0, -1, 794, 917, 144, 0, 167, 0, 0, 191, 51, 949, 0, 612, 909, 511, 0, 0, 609, 585, 0, 250, 385, 0, 539, 176, 92, 818, 584, 0, 784, 0, 957, 712, 184, 0, 0, 0, 0, 0, 955, 368, 466, 0, 0, 486, 0, 0, 0, 0, 387, 185, 0, 42, 789, 0, 44, 0, 0, 236, 712, 0, 0, 64, 152, 0, 0, 0, 
108, 0, 392, -1, 785, 778, 0, 0, 876, 0, 65, 586, 0, 0, 324, 0, 795, 0, 0, 0, 653, 286, 895, 322, 0, 0, 383, 0, 0, 0, 0, 0, 0, 588, 0, 791, 0, 262, 468, 0, 0, 931, 0, 285, 909, 729, 56, 0, 186, 0, 0, 0, 0, 612, 558, 0, 0, 538, 518, 363, 532, 918, 0, 371, 720, 68, 0, 318, 805, 
918, 401, 204, 437, -1, 853, 49, 209, 0, 0, 510, 0, 879, 0, 691, 0, 0, 0, 0, 0, 0, 842, 0, 0, 0, 345, 167, 0, 0, 775, 0, 836, 550, 0, 209, 328, 0, 0, 0, 0, 939, 566, 159, 820, 477, 0, 211, 942, 187, 0, 477, 669, 162, 0, 241, 0, 324, 193, 755, 0, 0, 271, 0, 0, 0, 0, 0, 60, 0, 
519, 0, 0, 942, 0, -1, 0, 832, 889, 757, 0, 363, 0, 996, 441, 0, 0, 134, 0, 711, 808, 34, 682, 0, 0, 460, 0, 295, 875, 164, 112, 0, 894, 788, 0, 0, 849, 0, 575, 463, 0, 0, 0, 0, 305, 0, 468, 0, 0, 0, 235, 665, 710, 747, 68, 0, 718, 0, 342, 472, 100, 0, 197, 0, 0, 780, 0, 0, 28, 
133, 461, 368, 371, 310, 0, -1, 0, 0, 0, 0, 992, 555, 568, 0, 0, 0, 0, 0, 731, 505, 0, 0, 859, 0, 520, 94, 0, 0, 744, 0, 698, 770, 0, 732, 0, 124, 196, 0, 864, 0, 0, 0, 0, 0, 0, 0, 220, 575, 594, 15, 0, 0, 743, 0, 0, 0, 0, 633, 0, 0, 0, 857, 0, 0, 801, 0, 552, 943, 
567, 511, 190, 623, 734, 553, 0, -1, 0, 0, 0, 922, 0, 308, 0, 597, 0, 387, 405, 965, 0, 146, 710, 0, 3, 604, 0, 0, 0, 0, 847, 507, 46, 0, 877, 771, 497, 576, 892, 558, 0, 0, 321, 593, 0, 638, 474, 0, 0, 781, 335, 978, 839, 0, 804, 0, 931, 350, 673, 675, 62, 802, 0, 0, 857, 0, 649, 850, 0, 
361, 58, 0, 0, 0, 767, 446, 893, -1, 895, 130, 0, 664, 0, 0, 0, 0, 0, 0, 99, 110, 632, 0, 887, 511, 344, 0, 492, 0, 347, 0, 0, 0, 0, 0, 0, 0, 191, 601, 415, 219, 887, 776, 0, 751, 130, 0, 193, 961, 260, 782, 31, 0, 745, 355, 0, 0, 650, 307, 265, 551, 0, 0, 375, 365, 334, 0, 0, 0, 
40, 290, 733, 338, 272, 0, 707, 560, 0, -1, 0, 0, 893, 0, 928, 103, 0, 0, 0, 553, 0, 0, 0, 703, 0, 0, 0, 210, 817, 0, 0, 0, 0, 0, 11, 294, 0, 274, 534, 535, 791, 0, 0, 0, 0, 0, 0, 387, 730, 0, 172, 929, 619, 0, 0, 0, 841, 880, 0, 0, 0, 0, 0, 251, 424, 0, 0, 88, 0, 
