[-1, 0, 611, 871, 0, 748, 697, 0, 0, 272, 0, 439, 0, 0, 0, 854, 362, 453, 0, 0, 0, 0, 208, 0, 161, 0, 0, 0, 0, 985, 0, 0, 0, 0, 235, 0, 781, 0, 507, 727, 0, 0, 0, 0, 390, 447, 347, 0, 723, 0, 0, 0, 506, 0, 630, 262, 0, 0, 0, 642, 991, 709, 0, 0, 0, 0, 353, 0, 149, 371, 0, 0, 0, 780, 634, 0, 0, 0, 35, 233, 381, 131, 477, 710, 126, 929, 146, 199, 0, 0, 
988, -1, 663, 0, 804, 948, 0, 0, 0, 805, 949, 330, 56, 0, 0, 775, 0, 675, 0, 754, 599, 20, 0, 316, 0, 6, 0, 0, 104, 0, 778, 93, 917, 569, 701, 0, 0, 216, 182, 460, 168, 629, 0, 258, 258, 0, 206, 951, 419, 371, 0, 0, 57, 0, 0, 211, 785, 848, 0, 0, 0, 0, 0, 42, 894, 0, 0, 0, 0, 502, 0, 0, 0, 0, 0, 0, 976, 0, 163, 675, 546, 230, 0, 0, 9, 750, 662, 0, 693, 0, 
267, 235, -1, 0, 0, 309, 0, 0, 18, 771, 0, 0, 0, 0, 0, 0, 73, 0, 238, 0, 637, 336, 280, 0, 602, 0, 991, 0, 0, 660, 748, 524, 0, 295, 0, 0, 241, 85, 0, 936, 0, 696, 0, 218, 0, 65, 0, 0, 0, 350, 38, 824, 594, 309, 311, 506, 768, 0, 206, 535, 638, 708, 100, 0, 0, 449, 0, 0, 0, 339, 0, 0, 757, 0, 338, 0, 55, 388, 466, 0, 790, 0, 977, 0, 520, 87, 0, 0, 0, 937, 
100, 0, 0, -1, 727, 898, 0, 893, 314, 39, 787, 324, 0, 0, 0, 361, 669, 0, 697, 591, 260, 150, 0, 0, 979, 546, 0, 0, 422, 0, 0, 0, 0, 0, 0, 0, 818, 0, 0, 0, 0, 0, 78, 0, 220, 0, 698, 478, 0, 0, 271, 0, 253, 0, 934, 0, 0, 0, 221, 0, 271, 0, 0, 0, 887, 0, 0, 309, 43, 783, 0, 899, 953, 0, 818, 0, 0, 0, 25, 533, 0, 179, 0, 620, 925, 375, 250, 0, 711, 0, 
314, 0, 0, 0, -1, 0, 256, 0, 282, 627, 20, 0, 522, 431, 0, 283, 0, 85, 0, 497, 0, 0, 579, 0, 725, 778, 925, 165, 0, 0, 0, 0, 570, 710, 0, 0, 716, 877, 96, 0, 639, 0, 0, 0, 369, 274, 476, 0, 0, 0, 191, 0, 289, 0, 0, 124, 386, 0, 511, 48, 684, 118, 0, 0, 0, 171, 0, 0, 0, 995, 391, 591, 82, 0, 863, 0, 391, 719, 964, 464, 210, 379, 727, 0, 0, 706, 0, 0, 0, 0, 
389, 302, 374, 106, 350, -1, 936, 0, 263, 0, 151, 919, 0, 673, 0, 0, 970, 0, 109, 0, 950, 664, 0, 373, 914, 0, 172, 59, 0, 0, 768, 169, 952, 962, 0, 0, 0, 119, 0, 0, 0, 695, 629, 232, 505, 366, 830, 0, 0, 0, 0, 0, 347, 209, 0, 728, 19, 0, 0, 0, 0, 248, 0, 26, 0, 0, 0, 0, 566, 147, 265, 0, 187, 0, 291, 849, 650, 0, 75, 0, 160, 97, 0, 85, 159, 204, 99, 612, 0, 0, 
950, 0, 84, 326, 387, 0, -1, 0, 254, 0, 0, 0, 0, 0, 0, 6, 799, 0, 0, 505, 425, 0, 487, 620, 0, 811, 422, 0, 967, 0, 0, 0, 0, 724, 454, 206, 0, 0, 26, 0, 0, 613, 193, 928, 346, 368, 0, 275, 728, 738, 428, 0, 0, 0, 0, 408, 477, 683, 0, 0, 353, 0, 795, 96, 158, 0, 0, 422, 0, 0, 0, 989, 696, 0, 537, 0, 16, 0, 0, 549, 437, 0, 167, 55, 630, 172, 867, 0, 30, 0, 
417, 663, 0, 773, 601, 449, 0, -1, 0, 0, 0, 0, 0, 534, 0, 0, 189, 0, 838, 357, 0, 856, 0, 0, 0, 0, 0, 210, 0, 973, 823, 337, 679, 0, 0, 0, 111, 425, 568, 0, 0, 0, 303, 0, 0, 162, 0, 521, 784, 452, 936, 268, 974, 190, 991, 0, 0, 279, 861, 809, 399, 0, 233, 0, 0, 11, 548, 0, 595, 0, 642, 44, 228, 0, 0, 0, 0, 0, 946, 0, 397, 0, 563, 0, 0, 0, 132, 0, 0, 424, 
0, 0, 495, 0, 945, 556, 0, 0, -1, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 445, 813, 0, 0, 0, 0, 0, 347, 325, 0, 861, 706, 0, 941, 0, 0, 0, 419, 0, 0, 523, 0, 422, 0, 794, 747, 0, 688, 649, 0, 838, 0, 0, 755, 863, 0, 941, 0, 0, 0, 569, 880, 0, 960, 5, 248, 0, 146, 0, 244, 0, 20, 948, 103, 186, 74, 0, 690, 0, 0, 720, 0, 0, 451, 136, 0, 326, 659, 0, 272, 0, 
0, 7, 0, 0, 357, 58, 693, 72, 0, -1, 747, 0, 792, 523, 0, 805, 832, 660, 0, 109, 0, 0, 516, 535, 78, 0, 72, 376, 0, 0, 370, 988, 0, 865, 0, 352, 0, 0, 845, 0, 0, 49, 111, 703, 281, 301, 532, 0, 829, 0, 0, 0, 0, 536, 217, 0, 0, 0, 365, 0, 763, 0, 0, 558, 0, 0, 859, 0, 370, 0, 155, 911, 0, 0, 258, 0, 0, 0, 475, 0, 749, 0, 0, 0, 244, 0, 0, 0, 0, 0, 
