[-1, 0, 0, 615, 0, 322, 0, 649, 614, 0, 0, 0, 0, 287, 0, 0, 0, 730, 0, 885, 0, 0, 485, 0, 0, 0, 0, 501, 719, 50, 0, 0, 0, 0, 795, 0, 451, 0, 993, 724, 984, 0, 0, 0, 668, 0, 0, 0, 738, 0, 0, 679, 0, 0, 0, 629, 0, 0, 439, 754, 738, 0, 847, 749, 0, 77, 0, 420, 347, 606, 119, 761, 497, 701, 0, 850, 0, 0, 0, 0, 360, 630, 394, 0, 630, 0, 893, 0, 0, 
269, -1, 0, 380, 466, 530, 0, 907, 0, 672, 0, 72, 103, 787, 13, 271, 0, 0, 159, 41, 682, 586, 373, 484, 177, 0, 0, 0, 0, 0, 0, 743, 795, 0, 0, 476, 0, 0, 0, 538, 0, 273, 726, 759, 0, 933, 693, 674, 0, 782, 0, 0, 815, 0, 767, 300, 949, 0, 0, 330, 0, 219, 761, 0, 645, 0, 0, 176, 0, 0, 0, 0, 0, 871, 0, 0, 0, 666, 0, 0, 802, 625, 0, 0, 0, 315, 163, 825, 0, 
0, 0, -1, 924, 242, 111, 550, 0, 0, 171, 0, 0, 339, 0, 633, 0, 891, 746, 609, 861, 43, 550, 671, 828, 61, 934, 0, 156, 186, 0, 0, 0, 24, 207, 429, 945, 886, 0, 0, 816, 283, 751, 991, 645, 0, 164, 0, 0, 0, 0, 537, 742, 606, 513, 111, 0, 27, 577, 707, 0, 86, 0, 301, 0, 0, 981, 0, 653, 691, 0, 0, 0, 0, 20, 626, 0, 74, 0, 326, 0, 0, 0, 0, 0, 657, 423, 81, 509, 0, 
999, 792, 237, -1, 842, 0, 0, 0, 0, 0, 0, 536, 0, 0, 164, 668, 0, 0, 0, 671, 206, 214, 391, 0, 0, 0, 0, 0, 701, 786, 578, 81, 362, 935, 829, 275, 0, 0, 193, 0, 0, 0, 0, 821, 0, 76, 0, 659, 515, 114, 221, 0, 0, 0, 959, 130, 34, 234, 137, 0, 437, 0, 755, 940, 0, 172, 749, 0, 0, 0, 600, 869, 867, 0, 0, 0, 0, 0, 46, 0, 882, 0, 0, 412, 160, 0, 0, 0, 0, 
0, 0, 0, 303, -1, 62, 735, 0, 0, 134, 802, 184, 757, 0, 414, 781, 0, 0, 0, 0, 627, 461, 165, 627, 419, 0, 493, 426, 0, 0, 415, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 314, 405, 797, 0, 0, 317, 751, 235, 607, 309, 400, 0, 103, 804, 0, 0, 668, 496, 0, 0, 340, 140, 982, 918, 0, 0, 0, 0, 229, 0, 924, 868, 936, 0, 0, 0, 0, 0, 512, 990, 220, 0, 0, 902, 0, 106, 0, 
151, 331, 560, 0, 215, -1, 410, 0, 0, 0, 0, 357, 928, 0, 0, 0, 0, 326, 894, 0, 96, 557, 217, 19, 0, 534, 596, 324, 23, 0, 166, 0, 195, 532, 0, 0, 678, 820, 923, 724, 729, 509, 0, 957, 0, 0, 301, 740, 0, 0, 234, 0, 195, 478, 519, 108, 621, 783, 0, 0, 181, 158, 0, 0, 814, 0, 0, 0, 0, 494, 536, 7, 18, 0, 0, 519, 665, 0, 95, 0, 59, 450, 901, 889, 0, 0, 928, 0, 90, 
0, 0, 109, 0, 0, 115, -1, 0, 0, 801, 880, 0, 467, 0, 0, 0, 0, 160, 526, 0, 0, 810, 781, 726, 653, 0, 0, 0, 0, 0, 246, 967, 429, 736, 0, 124, 647, 0, 0, 0, 0, 0, 1000, 0, 588, 758, 97, 261, 0, 0, 994, 669, 391, 44, 0, 298, 0, 0, 0, 868, 499, 0, 647, 878, 0, 835, 0, 0, 219, 8, 0, 0, 329, 303, 674, 238, 0, 704, 0, 39, 0, 534, 0, 0, 0, 161, 0, 384, 561, 
112, 0, 0, 0, 0, 463, 0, -1, 0, 638, 998, 8, 0, 944, 949, 516, 0, 0, 0, 683, 975, 0, 0, 0, 795, 385, 212, 13, 0, 605, 880, 0, 850, 284, 614, 0, 930, 196, 0, 0, 0, 0, 935, 0, 0, 683, 0, 0, 16, 851, 985, 343, 0, 901, 197, 0, 0, 26, 725, 0, 0, 898, 18, 986, 459, 0, 0, 913, 0, 12, 574, 819, 0, 0, 0, 232, 454, 0, 253, 59, 918, 430, 468, 137, 413, 0, 0, 0, 0, 
387, 0, 0, 833, 627, 0, 569, 0, -1, 0, 0, 604, 37, 55, 0, 0, 0, 804, 0, 0, 0, 803, 0, 714, 0, 0, 603, 0, 67, 0, 0, 0, 0, 106, 0, 0, 253, 0, 102, 0, 0, 708, 764, 0, 0, 957, 0, 0, 0, 0, 0, 585, 428, 0, 125, 767, 46, 0, 0, 0, 0, 0, 0, 0, 0, 977, 41, 0, 0, 58, 0, 24, 0, 760, 0, 0, 0, 491, 0, 0, 0, 263, 77, 124, 141, 517, 0, 0, 0, 
11, 610, 0, 0, 0, 807, 186, 0, 920, -1, 621, 0, 772, 0, 515, 0, 641, 0, 0, 805, 0, 235, 0, 0, 637, 0, 0, 0, 105, 340, 0, 0, 235, 76, 423, 690, 836, 258, 0, 0, 0, 0, 0, 872, 0, 450, 0, 0, 0, 0, 0, 0, 559, 140, 963, 0, 728, 491, 0, 0, 0, 919, 0, 606, 648, 0, 92, 881, 988, 791, 0, 0, 485, 0, 0, 0, 244, 75, 38, 0, 0, 0, 14, 379, 903, 0, 0, 0, 77, 
0, 77, 0, 0, 0, 741, 25, 0, 947, 760, -1, 688, 0, 720, 0, 0, 0, 432, 0, 0, 726, 0, 925, 561, 336, 0, 0, 0, 251, 796, 85, 813, 277, 0, 0, 0, 0, 0, 260, 0, 803, 923, 468, 0, 84, 676, 0, 243, 0, 244, 0, 0, 0, 0, 228, 0, 319, 730, 0, 0, 212, 0, 0, 700, 0, 337, 0, 0, 0, 0, 0, 0, 0, 270, 0, 767, 494, 634, 0, 0, 455, 707, 0, 153, 765, 0, 0, 0, 0, 
0, 0, 0, 491, 283, 0, 878, 0, 637, 879, 249, -1, 800, 0, 975, 0, 664, 0, 0, 0, 296, 71, 0, 654, 0, 0, 76, 0, 0, 0, 749, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 910, 0, 0, 0, 468, 0, 315, 884, 0, 0, 628, 0, 0, 0, 0, 643, 344, 0, 0, 0, 439, 0, 966, 0, 646, 762, 214, 219, 121, 0, 267, 623, 224, 0, 364, 0, 187, 520, 130, 846, 703, 905, 0, 56, 4, 435, 822, 194, 
