[-1, 730, 0, 0, 369, 0, 0, 248, 0, 282, 172, 570, 0, 332, 366, 778, 434, 0, 0, 0, 0, 0, 0, 474, 744, 772, 905, 0, 0, 269, 518, 557, 0, 883, 160, 0, 923, 800, 145, 830, 366, 0, 0, 533, 0, 662, 198, 2, 0, 401, 160, 271, 250, 0, 654, 816, 334, 945, 561, 541, 824, 644, 10, 609, 847, 725, 0, 0, 0, 0, 471, 142, 0, 174, 0, 0, 729, 419, 142, 0, 0, 684, 
899, -1, 552, 0, 575, 766, 701, 497, 178, 0, 247, 0, 189, 863, 0, 171, 627, 0, 0, 0, 0, 0, 944, 366, 968, 0, 0, 0, 0, 820, 775, 0, 0, 420, 561, 723, 0, 266, 0, 0, 578, 0, 291, 0, 756, 299, 0, 0, 0, 649, 0, 0, 952, 0, 798, 986, 581, 714, 705, 0, 259, 76, 0, 0, 0, 0, 870, 284, 0, 0, 0, 389, 645, 0, 0, 522, 0, 0, 0, 486, 350, 408, 
0, 0, -1, 965, 680, 862, 0, 533, 389, 208, 550, 0, 0, 0, 0, 931, 912, 113, 0, 0, 471, 299, 621, 0, 160, 330, 0, 0, 26, 0, 0, 0, 393, 435, 824, 0, 81, 0, 0, 0, 0, 0, 238, 0, 273, 0, 0, 306, 0, 0, 108, 738, 986, 279, 0, 862, 0, 0, 676, 0, 792, 0, 0, 0, 0, 0, 690, 704, 0, 0, 0, 83, 414, 914, 303, 0, 0, 664, 0, 0, 0, 220, 
405, 0, 941, -1, 0, 0, 218, 0, 399, 0, 170, 646, 977, 236, 979, 725, 661, 0, 0, 459, 696, 0, 0, 0, 0, 0, 311, 0, 0, 812, 0, 0, 956, 0, 308, 0, 417, 0, 569, 177, 0, 635, 981, 545, 412, 0, 0, 0, 809, 0, 0, 721, 0, 585, 860, 412, 0, 840, 865, 0, 0, 829, 581, 0, 0, 466, 578, 184, 0, 0, 634, 973, 0, 0, 0, 791, 326, 0, 0, 0, 741, 967, 
254, 672, 0, 547, -1, 0, 0, 0, 32, 919, 188, 0, 0, 0, 798, 877, 819, 0, 974, 0, 0, 419, 341, 0, 0, 0, 983, 0, 533, 720, 722, 0, 0, 0, 0, 0, 215, 315, 945, 425, 0, 0, 0, 0, 0, 842, 0, 692, 0, 585, 0, 384, 795, 358, 841, 576, 744, 420, 0, 215, 440, 508, 993, 0, 0, 0, 193, 100, 421, 116, 0, 285, 622, 455, 869, 274, 383, 144, 181, 0, 501, 0, 
0, 0, 704, 982, 0, -1, 0, 0, 494, 109, 679, 799, 0, 0, 0, 0, 0, 586, 687, 114, 0, 392, 784, 419, 536, 477, 0, 507, 0, 306, 919, 0, 0, 519, 0, 0, 0, 0, 0, 0, 587, 0, 0, 333, 0, 918, 0, 0, 0, 0, 312, 0, 420, 100, 0, 0, 506, 726, 0, 0, 0, 0, 591, 323, 0, 230, 0, 913, 0, 54, 0, 0, 0, 0, 0, 0, 863, 0, 198, 0, 0, 373, 
827, 0, 675, 516, 919, 0, -1, 214, 966, 0, 860, 266, 570, 0, 319, 0, 0, 0, 830, 810, 15, 103, 0, 0, 567, 920, 726, 715, 905, 0, 277, 289, 0, 685, 964, 650, 296, 0, 816, 592, 0, 217, 0, 0, 0, 0, 0, 0, 95, 755, 0, 0, 0, 982, 929, 48, 0, 10, 0, 101, 652, 315, 982, 734, 74, 664, 0, 0, 968, 0, 956, 0, 151, 457, 0, 26, 0, 235, 598, 0, 377, 0, 
374, 801, 577, 0, 0, 69, 761, -1, 0, 492, 821, 218, 685, 432, 0, 290, 0, 690, 546, 0, 0, 0, 0, 553, 192, 687, 0, 0, 225, 0, 488, 56, 935, 251, 448, 348, 0, 0, 728, 0, 0, 0, 0, 120, 639, 0, 0, 968, 809, 0, 0, 7, 0, 0, 514, 53, 345, 0, 0, 0, 869, 0, 385, 649, 105, 0, 489, 1, 774, 532, 452, 355, 769, 459, 0, 355, 513, 0, 0, 970, 733, 0, 
0, 0, 112, 0, 0, 389, 356, 212, -1, 502, 558, 0, 410, 280, 851, 924, 203, 0, 0, 488, 0, 0, 0, 0, 0, 0, 667, 129, 0, 669, 0, 0, 598, 0, 0, 967, 0, 984, 365, 0, 0, 0, 102, 0, 195, 0, 0, 0, 0, 445, 529, 0, 291, 0, 411, 0, 0, 0, 0, 0, 345, 0, 0, 978, 720, 553, 0, 0, 0, 685, 0, 497, 0, 0, 730, 0, 0, 0, 787, 987, 136, 0, 
0, 0, 0, 0, 0, 991, 0, 0, 312, -1, 973, 0, 699, 912, 0, 122, 66, 0, 0, 8, 0, 613, 940, 431, 216, 0, 0, 0, 0, 0, 5, 0, 695, 0, 0, 841, 406, 158, 0, 0, 0, 0, 938, 0, 0, 450, 0, 0, 0, 727, 0, 0, 785, 0, 605, 0, 0, 307, 0, 509, 0, 0, 0, 136, 0, 0, 0, 0, 908, 0, 643, 0, 0, 0, 858, 0, 0, 0, 0, 0, 345, 478, 
