[-1, 0, 89, 0, 102, 0, 453, 773, 399, 0, 896, 816, 0, 404, 0, 525, 314, 0, 0, 0, 367, 96, 241, 0, 0, 0, 499, 735, 465, 634, 0, 321, 0, 170, 0, 0, 974, 0, 70, 0, 465, 243, 92, 224, 0, 303, 0, 0, 619, 940, 65, 479, 587, 0, 0, 408, 
351, -1, 0, 818, 691, 566, 0, 980, 717, 0, 723, 0, 509, 892, 193, 601, 183, 0, 268, 0, 807, 888, 0, 0, 0, 0, 0, 605, 0, 187, 0, 643, 0, 0, 0, 212, 0, 828, 882, 534, 0, 217, 0, 491, 891, 0, 0, 127, 800, 962, 930, 0, 584, 716, 254, 244, 
952, 689, -1, 722, 0, 940, 0, 0, 0, 392, 39, 0, 803, 0, 479, 490, 479, 56, 0, 163, 323, 163, 0, 0, 0, 504, 0, 0, 484, 0, 116, 304, 0, 995, 737, 0, 0, 581, 0, 0, 0, 222, 845, 581, 34, 0, 0, 729, 0, 0, 0, 0, 282, 801, 325, 0, 
591, 1000, 0, -1, 0, 262, 720, 953, 404, 0, 0, 661, 0, 0, 598, 0, 31, 504, 0, 916, 0, 194, 358, 744, 0, 637, 0, 0, 0, 0, 237, 405, 0, 181, 802, 342, 981, 733, 0, 985, 0, 557, 0, 492, 0, 395, 185, 853, 0, 509, 390, 0, 0, 213, 0, 153, 
571, 0, 0, 437, -1, 0, 266, 0, 0, 0, 0, 0, 549, 0, 41, 0, 0, 0, 854, 0, 0, 0, 0, 540, 269, 573, 0, 154, 89, 276, 984, 86, 0, 0, 0, 643, 340, 467, 194, 0, 0, 0, 0, 0, 128, 242, 0, 0, 0, 336, 219, 0, 0, 617, 0, 0, 
0, 814, 1, 158, 264, -1, 122, 256, 0, 383, 892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 793, 0, 0, 0, 572, 550, 0, 0, 0, 0, 0, 0, 0, 532, 0, 404, 0, 0, 0, 0, 731, 0, 177, 0, 599, 203, 0, 0, 0, 492, 180, 907, 0, 79, 
550, 0, 939, 640, 472, 582, -1, 0, 0, 686, 657, 0, 0, 478, 0, 0, 869, 0, 623, 0, 353, 20, 690, 0, 0, 641, 0, 0, 182, 119, 0, 0, 169, 675, 732, 0, 164, 0, 739, 0, 570, 0, 0, 798, 0, 449, 668, 0, 755, 541, 832, 300, 859, 715, 0, 0, 
811, 0, 0, 0, 223, 486, 0, -1, 126, 226, 0, 0, 0, 404, 687, 0, 714, 290, 0, 0, 866, 791, 0, 828, 0, 0, 0, 626, 837, 0, 0, 0, 332, 0, 655, 0, 199, 0, 0, 0, 325, 860, 927, 289, 0, 194, 0, 921, 586, 0, 714, 0, 0, 0, 975, 170, 
41, 168, 576, 628, 0, 449, 0, 0, -1, 0, 0, 0, 960, 465, 0, 0, 0, 0, 592, 0, 0, 0, 703, 0, 0, 0, 0, 105, 662, 0, 312, 45, 0, 937, 543, 0, 0, 496, 147, 138, 0, 0, 0, 0, 0, 928, 0, 853, 556, 235, 182, 0, 0, 439, 502, 0, 
530, 888, 973, 0, 580, 978, 220, 288, 881, -1, 969, 0, 0, 931, 0, 0, 11, 0, 715, 426, 0, 0, 0, 0, 765, 0, 722, 119, 830, 549, 0, 0, 0, 0, 913, 0, 0, 0, 387, 0, 763, 535, 0, 513, 0, 0, 117, 0, 0, 950, 0, 0, 802, 956, 0, 0, 
