43
[-1, 112, 275, 0, 0, 0, 552, 959, 286, 0, 359, 771, 843, 0, 100, 0, 0, 871, 0, 895, 99, 0, 921, 685, 0, 496, 295, 0, 0, 715, 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 0, 414, 0, 
0, -1, 0, 0, 0, 402, 0, 61, 0, 206, 0, 0, 0, 0, 0, 0, 436, 259, 561, 0, 0, 676, 854, 856, 492, 687, 0, 142, 0, 0, 0, 0, 123, 0, 19, 0, 728, 708, 0, 41, 101, 175, 0, 
900, 0, -1, 0, 0, 0, 0, 547, 180, 0, 161, 36, 0, 482, 938, 0, 203, 192, 0, 143, 433, 547, 227, 530, 0, 931, 0, 714, 275, 0, 0, 528, 115, 0, 275, 875, 693, 202, 844, 354, 393, 863, 0, 
0, 421, 907, -1, 497, 752, 335, 0, 717, 0, 0, 412, 0, 0, 0, 0, 138, 55, 765, 259, 0, 0, 425, 936, 668, 777, 459, 548, 11, 0, 0, 0, 0, 539, 230, 0, 130, 93, 0, 715, 0, 0, 302, 
0, 0, 0, 0, -1, 370, 43, 941, 263, 0, 33, 0, 523, 294, 791, 0, 437, 0, 0, 0, 597, 0, 0, 0, 971, 142, 0, 0, 709, 0, 764, 961, 0, 0, 209, 825, 0, 947, 702, 26, 525, 0, 451, 
0, 448, 225, 0, 0, -1, 538, 538, 0, 417, 628, 557, 102, 0, 853, 121, 0, 275, 323, 0, 864, 491, 340, 0, 782, 530, 45, 0, 0, 202, 628, 867, 0, 396, 180, 494, 0, 0, 917, 0, 0, 723, 0, 
644, 0, 0, 593, 146, 978, -1, 0, 0, 758, 0, 426, 590, 0, 584, 0, 0, 0, 0, 839, 913, 0, 21, 0, 481, 243, 111, 958, 0, 0, 0, 51, 508, 278, 81, 0, 0, 0, 112, 0, 229, 0, 208, 
0, 0, 0, 926, 0, 0, 0, -1, 0, 602, 396, 0, 0, 0, 948, 128, 0, 0, 0, 313, 466, 124, 0, 625, 219, 104, 0, 0, 354, 0, 0, 803, 0, 638, 0, 482, 0, 0, 0, 144, 0, 0, 123, 
0, 898, 0, 0, 0, 0, 809, 0, -1, 924, 713, 441, 576, 929, 0, 992, 560, 732, 0, 0, 0, 831, 0, 163, 654, 95, 0, 0, 0, 0, 220, 0, 194, 290, 444, 745, 0, 0, 0, 0, 115, 2, 0, 
0, 0, 9, 0, 969, 214, 0, 0, 0, -1, 0, 2, 497, 571, 332, 0, 139, 0, 0, 0, 658, 0, 0, 1, 0, 0, 0, 0, 131, 929, 911, 0, 0, 22, 0, 471, 952, 0, 0, 138, 51, 893, 0, 
419, 310, 688, 982, 0, 507, 627, 335, 440, 0, -1, 0, 868, 0, 653, 0, 929, 0, 0, 663, 994, 0, 0, 242, 335, 0, 467, 0, 674, 286, 0, 411, 0, 912, 605, 0, 0, 791, 0, 0, 0, 0, 296, 
0, 0, 703, 254, 0, 0, 212, 0, 160, 0, 150, -1, 0, 771, 0, 0, 83, 0, 0, 946, 642, 229, 708, 0, 0, 0, 859, 208, 318, 0, 650, 303, 0, 0, 0, 45, 0, 0, 957, 899, 485, 291, 391, 
0, 329, 842, 0, 306, 981, 171, 785, 358, 0, 489, 0, -1, 0, 0, 0, 72, 0, 0, 0, 407, 0, 59, 0, 917, 0, 0, 354, 204, 0, 52, 0, 279, 0, 0, 531, 751, 0, 126, 0, 0, 289, 0, 
162, 656, 918, 705, 263, 128, 0, 755, 782, 133, 432, 533, 978, -1, 995, 258, 383, 619, 0, 346, 0, 0, 0, 452, 0, 535, 417, 52, 604, 0, 0, 0, 434, 0, 277, 0, 0, 0, 116, 622, 0, 0, 143, 
766, 0, 934, 950, 0, 317, 204, 834, 0, 199, 114, 524, 981, 149, -1, 0, 541, 152, 0, 53, 0, 0, 0, 604, 0, 888, 0, 869, 803, 236, 0, 509, 582, 482, 702, 538, 910, 213, 416, 482, 0, 0, 176, 
609, 876, 0, 0, 819, 0, 606, 464, 169, 0, 0, 0, 0, 0, 45, -1, 685, 0, 0, 0, 624, 0, 0, 0, 126, 0, 291, 136, 311, 0, 482, 489, 0, 823, 9, 0, 642, 0, 416, 0, 706, 0, 685, 
0, 700, 0, 736, 0, 299, 0, 719, 178, 325, 0, 855, 109, 603, 977, 580, -1, 0, 480, 0, 409, 493, 0, 652, 718, 408, 124, 0, 249, 766, 0, 0, 0, 574, 0, 0, 0, 846, 981, 0, 0, 0, 0, 
0, 0, 0, 0, 406, 837, 0, 883, 211, 233, 270, 470, 0, 0, 0, 0, 273, -1, 0, 0, 561, 798, 0, 0, 0, 0, 862, 0, 562, 622, 0, 251, 699, 882, 0, 0, 0, 662, 0, 111, 0, 0, 0, 
803, 962, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 317, 0, 187, 0, 693, 0, -1, 0, 0, 0, 0, 0, 147, 0, 450, 0, 0, 0, 802, 440, 425, 0, 0, 0, 670, 308, 0, 0, 0, 0, 0, 
612, 292, 0, 553, 0, 814, 166, 984, 352, 0, 952, 316, 436, 344, 141, 0, 559, 24, 322, -1, 0, 640, 0, 618, 383, 0, 0, 0, 0, 661, 0, 0, 706, 0, 477, 97, 913, 0, 842, 0, 449, 575, 504, 
