49
[-1, 605, 306, 0, 413, 602, 0, 269264, 669, 262, 817, 424, 238, 325, 1029, 0, 709, 736, 233, 0, 498, 878, 0, 0, 631, 287, 270, 0, 0, 0, 0, 413, 458, 556, 0, 0, 0, 828, 576, 621, 0, 0, 817, 0, 827, 0, 0, 0, 0, 
605, -1, 0, 802, 0, 0, 967, 270526, 0, 0, 2418, 0, 1711, 1354, 1794, 952, 1991, 1872, 1407, 251, 0, 1821, 809, 0, 0, 1819, 1337, 0, 0, 0, 553, 0, 1458, 1695, 0, 419, 0, 2370, 0, 2109, 957, 952, 1837, 246, 1551, 400, 0, 0, 1043, 
306, 0, -1, 484, 1359, 1698, 0, 0, 986, 629, 584, 0, 0, 578, 821, 0, 539, 0, 0, 329, 1082, 0, 0, 0, 0, 0, 0, 369, 699, 0, 279, 0, 330, 0, 0, 0, 0, 793, 1648, 0, 0, 866, 0, 440, 888, 661, 558, 209, 961, 
0, 802, 484, -1, 588, 0, 0, 272112, 0, 454, 485, 923, 0, 0, 551, 0, 0, 0, 0, 0, 878, 0, 0, 656, 0, 355, 0, 1168, 1803, 651, 0, 760, 0, 0, 0, 0, 877, 388, 0, 893, 2013, 2666, 0, 1741, 551, 0, 1198, 1529, 0, 
413, 0, 1359, 588, -1, 0, 901, 520, 0, 245, 587, 1625, 409, 0, 0, 0, 616, 807, 0, 0, 905, 1091, 432, 2122, 1161, 0, 532, 0, 0, 0, 0, 0, 0, 0, 790, 297, 2339, 910, 310, 596, 0, 964, 0, 472, 0, 0, 551, 337, 0, 
602, 0, 1698, 0, 0, -1, 756, 547, 306, 0, 0, 628, 577, 0, 1070, 0, 0, 0, 0, 0, 639, 0, 419, 0, 328, 0, 0, 824, 584, 0, 700, 0, 446, 985, 922, 0, 715, 0, 0, 1145, 444, 892, 0, 0, 464, 1086, 0, 0, 869, 
0, 967, 0, 0, 901, 756, -1, 271543, 555, 737, 797, 1211, 0, 854, 430, 2580, 340, 0, 973, 0, 1024, 0, 2666, 942, 429, 0, 737, 0, 0, 0, 0, 1089, 700, 0, 2479, 0, 0, 494, 649, 0, 452, 0, 0, 727, 0, 1817, 0, 0, 0, 
269264, 270526, 0, 272112, 520, 547, 271543, -1, 0, 0, 0, 0, 0, 0, 0, 369, 919, 0, 412, 0, 760, 1019, 220, 345, 0, 551, 0, 379, 469, 272875, 271758, 270209, 395, 719, 0, 0, 934, 815, 0, 0, 837, 0, 0, 904, 0, 1100, 821, 435, 271926, 
669, 0, 986, 0, 0, 306, 555, 0, -1, 0, 0, 806, 745, 501, 933, 508, 673, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 966, 732, 0, 784, 730, 0, 0, 754, 0, 0, 0, 812, 1083, 173, 0, 0, 0, 0, 0, 0, 635, 758, 
262, 0, 629, 454, 245, 0, 737, 0, 0, -1, 648, 666, 373, 494, 791, 534, 0, 614, 469, 269, 0, 872, 0, 382, 0, 177, 299, 425, 0, 401, 269, 574, 0, 360, 0, 76, 767, 0, 316, 0, 620, 796, 568, 0, 0, 0, 606, 154, 0, 
